timestamps,TP9,AF7,AF8,TP10,Right AUX
1587066715.534,-25.391,-154.785,-194.336,-15.625,0.000
1587066715.538,-51.270,-495.605,-335.449,-33.691,0.000
1587066715.542,-43.457,-39.062,-104.980,-36.133,0.000
1587066715.546,-21.484,311.523,122.559,-9.766,0.000
1587066715.550,-24.902,-31.250,-103.516,1.465,0.000
1587066715.553,-48.340,-565.918,-398.926,-24.414,0.000
1587066715.557,-53.223,-179.688,-206.543,-46.387,0.000
1587066715.561,-10.742,328.125,103.027,-18.066,0.000
1587066715.565,9.766,-268.066,-249.512,22.461,0.000
1587066715.569,-42.480,-353.516,-204.102,-28.320,0.000
1587066715.573,-68.359,97.168,42.969,-77.148,0.000
1587066715.577,-26.367,-51.270,-43.945,-43.457,0.000
1587066715.581,-9.766,54.199,36.621,-27.832,0.000
1587066715.585,-52.246,208.496,53.223,-55.176,0.000
1587066715.589,-70.801,126.465,40.527,-73.242,0.000
1587066715.593,-41.016,35.156,-66.406,-51.270,0.000
1587066715.596,-26.855,68.848,-27.344,-38.574,0.000
1587066715.600,-44.922,-91.309,-99.121,-40.527,0.000
1587066715.604,-71.289,-268.066,-284.668,-61.523,0.000
1587066715.608,-60.059,-248.535,-249.023,-62.012,0.000
1587066715.612,-18.555,-639.160,-344.238,-24.902,0.000
1587066715.616,-40.039,1.953,-11.230,-47.363,0.000
1587066715.620,-80.078,198.242,4.883,-78.613,0.000
1587066715.624,-78.125,-302.734,-298.340,-77.148,0.000
1587066715.628,-50.293,4.395,-32.227,-59.570,0.000
1587066715.632,-45.410,402.832,170.898,-47.363,0.000
1587066715.635,-56.641,-37.109,-161.133,-63.477,0.000
1587066715.639,-59.570,-385.254,-367.676,-60.547,0.000
1587066715.643,-45.898,125.977,25.879,-36.133,0.000
1587066715.647,-17.090,243.164,116.211,-27.832,0.000
1587066715.651,-34.180,-148.926,-180.176,-31.738,0.000
1587066715.655,-55.664,-668.945,-487.305,-32.715,0.000
1587066715.659,-37.109,-503.418,-279.785,-34.180,0.000
1587066715.663,-24.902,396.484,177.246,-44.434,0.000
1587066715.667,-36.133,413.574,96.680,-46.875,0.000
1587066715.671,-61.523,-154.297,-202.148,-56.152,0.000
1587066715.675,-69.336,81.055,-9.277,-64.453,0.000
1587066715.678,-29.785,487.305,195.312,-47.363,0.000
1587066715.682,-13.184,281.738,37.598,-19.043,0.000
1587066715.686,-50.781,-25.391,-80.078,-33.691,0.000
1587066715.690,-52.246,-28.320,-41.016,-52.734,0.000
1587066715.694,-21.484,69.336,57.129,-29.297,0.000
1587066715.698,-11.230,-55.664,-4.395,-11.230,0.000
1587066715.702,-29.297,-701.172,-381.836,-11.230,0.000
1587066715.706,-56.152,-355.957,-203.613,-43.457,0.000
1587066715.710,-31.738,264.160,106.445,-41.016,0.000
1587066715.714,-5.859,258.789,74.707,-11.719,0.000
1587066715.718,-35.156,153.320,65.430,-15.625,0.000
1587066715.721,-62.500,145.508,72.754,-34.668,0.000
1587066715.725,-25.879,129.395,48.340,-18.555,0.000
1587066715.729,16.602,-5.371,-26.367,11.719,0.000
1587066715.733,-25.391,199.707,74.219,-7.812,0.000
1587066715.737,-59.570,143.066,11.719,-38.574,0.000
1587066715.741,-41.992,-302.734,-312.012,-32.227,0.000
1587066715.745,-10.254,-600.098,-437.500,0.977,0.000
1587066715.749,-33.203,-474.609,-271.973,-26.367,0.000
1587066715.753,-78.125,-168.945,-184.082,-75.684,0.000
1587066715.757,-69.336,-310.547,-346.680,-66.895,0.000
1587066715.760,-36.133,-367.188,-297.852,-33.203,0.000
1587066715.764,-32.715,241.211,84.961,-29.297,0.000
1587066715.768,-55.176,397.949,132.812,-44.434,0.000
1587066715.772,-68.848,40.527,-37.109,-59.082,0.000
1587066715.776,-51.758,-2.441,-51.758,-50.781,0.000
1587066715.780,-22.949,362.305,158.691,-27.832,0.000
1587066715.784,-32.715,435.059,133.301,-43.457,0.000
1587066715.788,-51.270,-256.348,-287.598,-51.758,0.000
1587066715.792,-36.133,-647.949,-350.586,-37.109,0.000
1587066715.796,-32.715,203.613,127.441,-43.457,0.000
1587066715.800,-47.852,590.332,178.223,-30.762,0.000
1587066715.803,-60.547,-33.691,-161.133,-31.250,0.000
1587066715.807,-55.176,-322.754,-303.223,-50.293,0.000
1587066715.811,-30.762,-28.809,-128.418,-35.156,0.000
1587066715.815,-27.832,324.219,99.121,-32.715,0.000
1587066715.819,-52.734,34.668,-91.797,-49.805,0.000
1587066715.823,-56.641,-175.293,-141.113,-50.781,0.000
1587066715.827,-22.949,146.973,78.613,-36.621,0.000
1587066715.831,-12.695,430.664,167.480,-29.297,0.000
1587066715.835,-30.762,-170.410,-197.266,-34.180,0.000
1587066715.839,-47.852,-587.402,-382.324,-50.293,0.000
1587066715.843,-33.691,-35.156,18.066,-30.273,0.000
1587066715.846,-1.465,93.750,65.430,2.441,0.000
1587066715.850,-9.277,-491.211,-366.211,-2.441,0.000
1587066715.854,-53.223,-345.215,-175.781,-39.062,0.000
1587066715.858,-46.875,307.129,173.340,-41.504,0.000
1587066715.862,-1.953,372.070,102.051,-4.395,0.000
1587066715.866,-8.789,78.125,-62.012,3.418,0.000
1587066715.870,-51.758,-132.812,-129.395,-18.066,0.000
1587066715.874,-55.176,46.387,-19.043,-32.227,0.000
1587066715.878,-13.184,200.195,64.453,-13.184,0.000
1587066715.882,-6.348,-110.840,-190.918,-9.766,0.000
1587066715.885,-41.504,-282.227,-308.105,-37.598,0.000
1587066715.889,-60.547,33.203,-64.941,-53.711,0.000
1587066715.893,-28.809,-69.824,-91.797,-30.762,0.000
1587066715.897,0.000,-512.207,-282.715,9.277,0.000
1587066715.901,-40.527,-104.004,-56.152,-23.438,0.000
1587066715.905,-61.523,-30.762,-145.020,-62.012,0.000
1587066715.909,-37.598,-228.027,-300.781,-44.434,0.000
1587066715.913,-15.137,22.461,-18.555,-26.855,0.000
1587066715.917,-28.320,293.457,146.973,-32.715,0.000
1587066715.921,-65.918,103.516,-26.367,-43.457,0.000
1587066715.925,-42.480,-264.648,-281.738,-20.508,0.000
1587066715.928,-4.883,-37.598,-27.832,-1.953,0.000
1587066715.932,-15.625,149.414,105.957,-7.324,0.000
1587066715.936,-51.758,-58.105,-100.098,-20.508,0.000
1587066715.940,-39.062,-656.250,-462.402,-12.695,0.000
1587066715.944,-12.695,-357.422,-191.895,-4.883,0.000
1587066715.948,-27.832,460.449,191.895,-13.672,0.000
1587066715.952,-55.664,206.055,-14.160,-30.762,0.000
1587066715.956,-56.152,-227.051,-201.660,-36.133,0.000
1587066715.960,-12.207,163.086,50.781,-17.090,0.000
1587066715.964,2.441,457.031,162.109,-12.207,0.000
1587066715.968,-31.738,208.496,-0.977,-32.715,0.000
1587066715.971,-50.781,-33.691,-100.586,-48.828,0.000
1587066715.975,-24.414,-140.137,-153.809,-27.832,0.000
1587066715.979,5.859,166.504,64.941,-14.648,0.000
1587066715.983,-6.836,79.590,-32.715,-19.531,0.000
1587066715.987,-36.133,-722.656,-403.320,-24.414,0.000
1587066715.991,-42.480,-129.395,-18.555,-45.410,0.000
1587066715.995,-8.301,520.508,210.449,-20.020,0.000
1587066715.999,1.953,185.547,-77.637,-2.930,0.000
1587066716.003,-35.156,-93.750,-156.250,-31.250,0.000
1587066716.007,-39.062,-18.555,-63.477,-38.086,0.000
1587066716.010,3.906,165.039,52.246,-6.836,0.000
1587066716.014,20.996,20.996,-69.336,3.418,0.000
1587066716.018,-24.414,-20.508,-61.523,-30.762,0.000
1587066716.022,-49.316,-237.793,-228.516,-41.992,0.000
1587066716.026,-14.648,-211.914,-258.789,-13.184,0.000
1587066716.030,13.184,-321.777,-209.473,11.719,0.000
1587066716.034,-29.785,-536.133,-285.645,-15.137,0.000
1587066716.038,-70.801,-101.562,-89.844,-51.758,0.000
1587066716.042,-39.551,-42.969,-110.840,-30.273,0.000
1587066716.046,-4.395,-158.203,-129.883,-13.184,0.000
1587066716.050,-24.902,137.695,32.715,-27.832,0.000
1587066716.053,-60.547,332.031,110.840,-57.617,0.000
1587066716.057,-38.574,83.008,-13.672,-49.316,0.000
1587066716.061,-7.324,94.238,30.273,-12.207,0.000
1587066716.065,-12.207,331.543,118.164,-14.648,0.000
1587066716.069,-36.621,-95.703,-194.336,-32.227,0.000
1587066716.073,-46.875,-535.645,-411.133,-40.039,0.000
1587066716.077,-13.672,-233.398,-135.254,-16.113,0.000
1587066716.081,-0.977,372.559,171.875,-5.859,0.000
1587066716.085,-45.410,412.109,106.934,-41.992,0.000
1587066716.089,-62.500,-214.844,-213.379,-52.734,0.000
1587066716.093,-30.273,-602.539,-262.695,-36.133,0.000
1587066716.096,-17.578,274.414,191.895,-38.086,0.000
1587066716.100,-34.668,361.328,89.355,-44.922,0.000
1587066716.104,-54.688,-358.887,-348.633,-47.852,0.000
1587066716.108,-50.293,-29.297,-80.078,-43.945,0.000
1587066716.112,-22.461,463.379,230.469,-40.039,0.000
1587066716.116,-20.508,101.562,-70.801,-37.598,0.000
1587066716.120,-44.434,-643.066,-484.863,-42.480,0.000
1587066716.124,-50.781,-734.863,-439.941,-50.293,0.000
1587066716.128,-32.715,-51.758,-71.777,-41.992,0.000
1587066716.132,-16.113,318.848,104.980,-32.227,0.000
1587066716.135,-51.758,-19.531,-130.371,-43.457,0.000
1587066716.139,-75.195,-82.520,-179.199,-65.430,0.000
1587066716.143,-36.621,382.324,129.395,-44.434,0.000
1587066716.147,-19.531,480.957,139.160,-11.719,0.000
1587066716.151,-57.617,-41.504,-181.152,-48.340,0.000
1587066716.155,-84.473,-199.219,-262.695,-82.520,0.000
1587066716.159,-57.129,-56.152,-182.617,-59.082,0.000
1587066716.163,-22.949,-171.875,-181.152,-31.250,0.000
1587066716.167,-40.527,-506.836,-314.941,-39.062,0.000
1587066716.171,-83.008,-318.848,-259.277,-66.406,0.000
1587066716.175,-62.012,83.008,-73.730,-60.547,0.000
1587066716.178,-13.672,122.559,9.766,-30.762,0.000
1587066716.182,-29.785,81.543,17.090,-35.156,0.000
1587066716.186,-71.289,204.102,77.637,-57.129,0.000
1587066716.190,-64.453,227.539,70.312,-54.199,0.000
1587066716.194,-22.949,130.371,46.387,-26.855,0.000
1587066716.198,-12.207,166.016,53.223,-18.555,0.000
1587066716.202,-44.922,329.590,128.418,-44.434,0.000
1587066716.206,-47.852,168.945,14.648,-44.434,0.000
1587066716.210,-14.160,-222.168,-265.625,-6.836,0.000
1587066716.214,-10.254,31.738,-30.273,4.395,0.000
1587066716.218,-42.969,206.543,65.430,-35.156,0.000
1587066716.221,-68.848,-268.555,-314.453,-61.035,0.000
1587066716.225,-47.852,-659.180,-436.523,-37.109,0.000
1587066716.229,-21.973,-152.344,-19.043,-24.902,0.000
1587066716.233,-34.180,309.082,138.184,-38.086,0.000
1587066716.237,-57.129,-156.738,-160.645,-41.992,0.000
