timestamps,TP9,AF7,AF8,TP10,Right AUX
1586465079.831,17.578,-42.969,467.773,-12.695,0.000
1586465079.835,-26.855,-44.922,535.645,-10.742,0.000
1586465079.839,-20.996,-45.898,501.953,-3.906,0.000
1586465079.843,-3.906,-41.016,457.520,-10.742,0.000
1586465079.847,-22.461,-44.434,423.340,-19.531,0.000
1586465079.850,-50.293,-49.805,473.145,14.160,0.000
1586465079.854,-53.711,-44.434,410.645,19.043,0.000
1586465079.858,-18.555,-43.945,366.699,-14.648,0.000
1586465079.862,37.598,-41.504,463.867,-41.992,0.000
1586465079.866,23.926,-41.992,461.914,-38.574,0.000
1586465079.870,-73.730,-50.293,554.688,-6.348,0.000
1586465079.874,-51.758,-58.105,556.641,-17.090,0.000
1586465079.878,13.672,-53.711,475.098,-62.012,0.000
1586465079.882,-5.371,-41.992,431.641,-50.293,0.000
1586465079.886,-53.711,-28.809,532.715,-25.879,0.000
1586465079.890,-100.586,-24.902,635.254,-3.906,0.000
1586465079.893,-99.121,-31.250,537.109,-35.156,0.000
1586465079.897,-80.078,-42.969,453.613,-99.609,0.000
1586465079.901,-13.184,-35.156,471.191,-83.496,0.000
1586465079.905,-11.230,-23.926,572.754,-36.621,0.000
1586465079.909,-9.766,-28.809,608.398,-66.895,0.000
1586465079.913,19.043,-33.691,437.012,-118.164,0.000
1586465079.917,-85.938,-35.156,477.539,-58.594,0.000
1586465079.921,-189.453,-33.691,622.559,-15.137,0.000
1586465079.925,-142.578,-26.367,593.262,-50.293,0.000
1586465079.929,-42.969,-27.344,407.227,-84.961,0.000
1586465079.933,-28.809,-38.574,432.617,-97.656,0.000
1586465079.936,-45.898,-31.250,624.023,-52.734,0.000
1586465079.940,-92.773,-28.809,636.230,-43.945,0.000
1586465079.944,-95.215,-33.203,374.023,-113.281,0.000
1586465079.948,-18.555,-21.484,360.840,-141.602,0.000
1586465079.952,-58.105,-18.555,619.141,-94.238,0.000
1586465079.956,-147.949,-30.762,579.102,-77.148,0.000
1586465079.960,-124.023,-34.180,442.383,-117.676,0.000
1586465079.964,5.859,-29.297,420.410,-162.109,0.000
1586465079.968,12.695,-24.902,557.129,-157.715,0.000
1586465079.972,-165.527,-38.086,565.430,-88.867,0.000
1586465079.975,-226.562,-47.852,452.148,-78.125,0.000
1586465079.979,-98.633,-38.574,355.469,-138.184,0.000
1586465079.983,-61.523,-36.621,432.129,-163.574,0.000
1586465079.987,-88.379,-38.574,499.512,-128.906,0.000
1586465079.991,-82.520,-42.969,371.582,-122.070,0.000
1586465079.995,-24.414,-55.176,288.574,-172.363,0.000
1586465079.999,-13.672,-52.734,379.395,-173.828,0.000
1586465080.003,-38.574,-47.363,403.809,-118.652,0.000
1586465080.007,-92.773,-62.012,350.098,-100.586,0.000
1586465080.011,-125.488,-66.406,314.941,-150.879,0.000
1586465080.015,-78.125,-65.918,228.516,-177.246,0.000
1586465080.018,-94.727,-65.918,259.766,-131.348,0.000
1586465080.022,-116.211,-70.801,357.422,-117.676,0.000
1586465080.026,-21.973,-82.031,347.656,-134.766,0.000
1586465080.030,36.133,-74.707,255.859,-169.922,0.000
1586465080.034,-48.340,-69.824,247.559,-150.879,0.000
