timestamps,TP9,AF7,AF8,TP10,Right AUX
1586465451.657,-41.016,-34.668,-253.906,-94.238,0.000
1586465451.661,-158.203,-34.668,-179.199,-29.785,0.000
1586465451.665,-168.945,-35.156,-202.637,-26.367,0.000
1586465451.668,-55.176,-36.133,-256.836,-83.008,0.000
1586465451.672,-26.367,-39.551,-295.898,-103.516,0.000
1586465451.676,-118.652,-41.016,-431.152,-45.898,0.000
1586465451.680,-159.180,-42.969,-789.551,-11.719,0.000
1586465451.684,-75.684,-41.504,-740.723,-72.754,0.000
1586465451.688,-10.254,-35.645,-265.137,-125.000,0.000
1586465451.692,-91.797,-32.227,-247.070,-83.008,0.000
1586465451.696,-173.828,-34.180,-229.492,-37.109,0.000
1586465451.700,-98.633,-31.250,-125.000,-70.312,0.000
1586465451.704,5.859,-32.715,-188.477,-112.793,0.000
1586465451.708,-47.852,-39.062,-405.762,-88.867,0.000
1586465451.711,-166.992,-37.109,-382.812,-35.645,0.000
1586465451.715,-139.160,-34.180,-83.496,-42.969,0.000
1586465451.719,-27.832,-34.668,-137.207,-104.492,0.000
1586465451.723,-26.367,-35.645,-606.445,-108.887,0.000
1586465451.727,-125.000,-33.203,-768.555,-45.410,0.000
1586465451.731,-128.418,-27.832,-192.383,-21.973,0.000
1586465451.735,0.000,-30.273,-6.836,-68.848,0.000
1586465451.739,43.945,-34.180,-519.531,-87.891,0.000
1586465451.743,-50.781,-32.227,-581.543,-36.621,0.000
1586465451.747,-96.680,-30.273,-39.062,10.254,0.000
1586465451.750,-0.488,-33.691,-11.230,-24.414,0.000
1586465451.754,75.195,-30.762,-411.133,-70.312,0.000
1586465451.758,-3.906,-29.297,-446.777,-41.504,0.000
1586465451.762,-97.168,-30.273,-72.266,4.883,0.000
1586465451.766,-34.668,-31.738,-18.555,-19.531,0.000
1586465451.770,75.195,-32.715,-527.344,-76.660,0.000
1586465451.774,25.391,-31.250,-700.195,-62.500,0.000
1586465451.778,-96.680,-35.156,-252.930,-8.789,0.000
1586465451.782,-68.848,-35.156,-118.164,-5.859,0.000
1586465451.786,48.340,-32.715,-642.090,-71.289,0.000
1586465451.790,46.387,-34.180,-662.598,-101.562,0.000
1586465451.793,-69.336,-39.551,-158.203,-49.805,0.000
1586465451.797,-97.656,-43.945,-240.234,-23.926,0.000
1586465451.801,2.441,-41.016,-517.090,-65.430,0.000
1586465451.805,41.016,-36.133,-439.453,-95.215,0.000
1586465451.809,-48.828,-31.738,-222.168,-51.758,0.000
1586465451.813,-108.887,-31.738,-223.145,-9.277,0.000
1586465451.817,-24.902,-34.668,-549.316,-49.316,0.000
1586465451.821,51.270,-33.203,-590.332,-93.262,0.000
1586465451.825,-26.367,-30.762,-242.676,-64.453,0.000
1586465451.829,-136.230,-35.156,-411.621,-23.438,0.000
1586465451.833,-87.402,-32.715,-731.445,-46.387,0.000
1586465451.836,32.715,-28.809,-397.949,-102.051,0.000
1586465451.840,-1.465,-30.762,-291.504,-101.074,0.000
