timestamps,TP9,AF7,AF8,TP10,Right AUX
1587072115.603,-189.941,-38.086,-502.930,-21.973,0.000
1587072115.607,-388.672,-38.574,-533.203,-17.090,0.000
1587072115.611,70.312,-42.480,-452.148,-56.641,0.000
1587072115.615,357.910,-38.086,-321.777,-76.172,0.000
1587072115.619,-44.922,-40.039,-439.941,-20.508,0.000
1587072115.623,-413.574,-46.387,-574.219,-1.465,0.000
1587072115.627,-79.590,-46.387,-658.203,-32.715,0.000
1587072115.630,367.676,-39.551,-505.371,-40.039,0.000
1587072115.634,127.441,-35.645,-361.328,-25.391,0.000
1587072115.638,-360.352,-46.387,-571.289,11.719,0.000
1587072115.642,-215.332,-46.875,-530.762,-4.395,0.000
1587072115.646,288.574,-37.598,-316.895,-54.199,0.000
1587072115.650,231.445,-41.016,-311.035,-55.664,0.000
1587072115.654,-291.504,-50.293,-533.203,-3.418,0.000
1587072115.658,-337.891,-49.805,-598.145,4.395,0.000
1587072115.662,180.664,-41.992,-377.930,-52.734,0.000
1587072115.666,330.566,-39.551,-317.871,-61.523,0.000
1587072115.670,-158.691,-48.828,-610.352,-8.301,0.000
1587072115.673,-418.457,-56.152,-733.398,1.953,0.000
1587072115.677,23.438,-40.527,-419.922,-48.828,0.000
1587072115.681,369.141,-29.297,-272.949,-48.340,0.000
1587072115.685,2.930,-43.945,-490.234,-14.160,0.000
1587072115.689,-418.945,-51.270,-624.023,-20.508,0.000
1587072115.693,-127.441,-43.457,-467.285,-48.340,0.000
1587072115.697,344.727,-45.898,-415.527,-72.754,0.000
1587072115.701,140.625,-49.316,-466.309,-42.480,0.000
1587072115.705,-367.188,-52.246,-535.645,-0.488,0.000
1587072115.709,-272.461,-52.246,-466.309,-30.762,0.000
1587072115.712,257.324,-45.898,-328.613,-63.965,0.000
1587072115.716,262.695,-48.340,-429.199,-52.246,0.000
1587072115.720,-272.949,-56.641,-559.082,-20.020,0.000
1587072115.724,-378.906,-52.734,-495.117,-16.602,0.000
1587072115.728,129.395,-49.316,-393.066,-45.410,0.000
1587072115.732,331.543,-53.711,-429.688,-58.105,0.000
1587072115.736,-122.559,-53.711,-479.004,-53.223,0.000
1587072115.740,-413.574,-52.246,-497.559,-26.855,0.000
1587072115.744,-18.555,-49.805,-478.027,-41.504,0.000
1587072115.748,354.004,-45.898,-384.766,-86.426,0.000
1587072115.752,25.879,-43.457,-393.555,-66.406,0.000
1587072115.755,-411.133,-47.852,-542.480,-31.738,0.000
1587072115.759,-167.480,-48.340,-577.637,-51.758,0.000
1587072115.763,305.664,-41.016,-484.375,-75.195,0.000
1587072115.767,161.621,-42.969,-410.645,-49.805,0.000
1587072115.771,-348.633,-43.457,-456.543,-24.414,0.000
1587072115.775,-293.457,-44.922,-629.395,-36.621,0.000
1587072115.779,232.910,-44.434,-572.266,-68.359,0.000
1587072115.783,297.852,-34.180,-337.402,-60.059,0.000
1587072115.787,-203.125,-38.086,-533.691,-16.602,0.000
1587072115.791,-378.906,-49.316,-613.281,-17.578,0.000
1587072115.795,97.656,-45.410,-431.152,-62.500,0.000
1587072115.798,355.957,-33.691,-310.547,-70.312,0.000
1587072115.802,-70.801,-37.109,-415.527,-8.301,0.000
1587072115.806,-404.297,-41.992,-575.195,-16.113,0.000
1587072115.810,-35.156,-41.504,-513.672,-80.566,0.000
1587072115.814,354.980,-40.527,-388.184,-91.309,0.000
1587072115.818,59.570,-39.551,-413.574,-52.246,0.000
1587072115.822,-399.902,-50.781,-674.805,-13.672,0.000
1587072115.826,-196.777,-43.945,-597.656,-28.320,0.000
1587072115.830,309.082,-27.344,-272.949,-61.035,0.000
1587072115.834,202.148,-32.715,-359.863,-52.246,0.000
1587072115.837,-318.848,-41.016,-520.020,-19.531,0.000
1587072115.841,-319.336,-40.039,-481.445,-31.738,0.000
1587072115.845,193.359,-34.668,-321.777,-66.895,0.000
1587072115.849,304.199,-33.203,-365.234,-64.941,0.000
1587072115.853,-188.965,-36.621,-563.965,-28.809,0.000
1587072115.857,-404.297,-42.480,-620.605,-15.625,0.000
1587072115.861,60.547,-35.645,-411.133,-54.199,0.000
1587072115.865,359.863,-31.250,-415.039,-68.848,0.000
1587072115.869,-53.711,-40.039,-635.742,-23.926,0.000
1587072115.873,-434.082,-40.039,-540.039,-11.719,0.000
1587072115.877,-103.027,-40.039,-493.652,-44.922,0.000
1587072115.880,330.566,-40.039,-400.391,-78.125,0.000
1587072115.884,95.215,-38.574,-408.203,-46.387,0.000
1587072115.888,-386.719,-37.109,-479.492,-11.719,0.000
1587072115.892,-249.023,-40.039,-479.492,-53.711,0.000
1587072115.896,261.230,-42.480,-388.672,-76.660,0.000
1587072115.900,203.125,-43.457,-383.789,-55.176,0.000
1587072115.904,-318.359,-47.852,-591.309,-13.672,0.000
1587072115.908,-368.164,-44.434,-562.988,-16.602,0.000
1587072115.912,144.043,-44.434,-562.012,-54.199,0.000
1587072115.916,307.129,-44.922,-496.094,-51.758,0.000
1587072115.920,-161.621,-39.551,-401.367,-16.113,0.000
1587072115.923,-429.199,-44.434,-567.871,-1.465,0.000
1587072115.927,-0.488,-46.387,-467.773,-43.457,0.000
1587072115.931,337.402,-44.922,-356.445,-77.148,0.000
1587072115.935,-26.855,-47.363,-457.520,-40.039,0.000
1587072115.939,-435.059,-51.758,-570.312,-8.301,0.000
1587072115.943,-149.414,-49.316,-518.066,-32.227,0.000
1587072115.947,322.754,-44.434,-361.816,-57.617,0.000
1587072115.951,130.859,-48.340,-449.219,-28.320,0.000
1587072115.955,-363.770,-54.199,-683.105,14.648,0.000
1587072115.959,-276.855,-56.641,-684.570,-12.207,0.000
1587072115.962,242.188,-42.480,-356.445,-49.316,0.000
1587072115.966,257.324,-35.156,-331.055,-36.621,0.000
1587072115.970,-258.301,-48.828,-544.922,-18.555,0.000
1587072115.974,-364.258,-54.199,-628.906,-16.113,0.000
1587072115.978,131.836,-41.016,-403.809,-45.410,0.000
1587072115.982,337.891,-31.738,-306.152,-62.500,0.000
1587072115.986,-117.676,-41.016,-465.332,-22.461,0.000
1587072115.990,-418.457,-48.340,-553.711,-3.418,0.000
1587072115.994,-27.832,-48.828,-491.211,-49.805,0.000
1587072115.998,346.680,-41.016,-358.398,-73.242,0.000
1587072116.002,25.879,-43.457,-594.238,-32.715,0.000
1587072116.005,-403.320,-44.922,-708.008,-4.395,0.000
1587072116.009,-160.156,-35.645,-428.711,-27.344,0.000
1587072116.013,309.570,-35.645,-354.004,-70.801,0.000
1587072116.017,163.574,-36.621,-406.250,-59.570,0.000
1587072116.021,-352.539,-40.527,-484.863,-23.926,0.000
1587072116.025,-308.105,-41.504,-467.773,-26.367,0.000
1587072116.029,228.516,-38.574,-387.207,-56.641,0.000
1587072116.033,273.438,-36.621,-376.953,-58.594,0.000
1587072116.037,-234.863,-39.062,-455.078,-7.812,0.000
1587072116.041,-382.324,-46.387,-536.621,5.371,0.000
1587072116.045,81.543,-45.898,-554.199,-25.879,0.000
1587072116.048,341.797,-41.016,-515.625,-31.250,0.000
1587072116.052,-90.332,-39.551,-484.863,-6.348,0.000
1587072116.056,-418.457,-42.480,-543.945,6.348,0.000
1587072116.060,-55.664,-42.969,-479.980,-24.902,0.000
1587072116.064,325.195,-40.527,-382.324,-55.176,0.000
1587072116.068,54.688,-39.551,-441.895,-29.297,0.000
1587072116.072,-402.344,-43.945,-551.758,6.836,0.000
1587072116.076,-206.543,-46.387,-477.051,-21.484,0.000
1587072116.080,301.758,-41.504,-347.656,-53.711,0.000
1587072116.084,208.496,-36.133,-344.238,-29.785,0.000
1587072116.087,-313.965,-39.062,-541.504,5.371,0.000
1587072116.091,-313.477,-45.410,-637.207,5.371,0.000
1587072116.095,205.078,-40.039,-425.293,-45.410,0.000
1587072116.099,312.012,-34.180,-295.898,-42.969,0.000
1587072116.103,-178.711,-41.992,-472.168,7.812,0.000
1587072116.107,-395.508,-50.781,-648.438,2.441,0.000
1587072116.111,46.387,-42.480,-486.328,-29.785,0.000
1587072116.115,341.309,-34.180,-296.387,-40.527,0.000
1587072116.119,-29.297,-39.551,-442.383,-9.766,0.000
1587072116.123,-406.738,-41.992,-571.289,0.977,0.000
1587072116.127,-103.516,-38.574,-449.219,-36.621,0.000
1587072116.130,357.910,-26.367,-293.457,-61.523,0.000
1587072116.134,131.836,-24.414,-426.758,-31.250,0.000
1587072116.138,-364.258,-39.062,-672.363,8.301,0.000
1587072116.142,-226.562,-35.645,-555.664,-12.695,0.000
1587072116.146,287.598,-26.855,-313.477,-61.523,0.000
1587072116.150,249.512,-32.227,-477.051,-45.898,0.000
1587072116.154,-276.855,-38.086,-697.754,15.625,0.000
1587072116.158,-349.609,-29.297,-492.676,0.488,0.000
1587072116.162,157.715,-24.902,-387.695,-57.617,0.000
1587072116.166,317.383,-31.250,-394.043,-57.129,0.000
1587072116.170,-158.691,-36.621,-489.746,-10.254,0.000
1587072116.173,-409.180,-39.062,-512.207,2.930,0.000
1587072116.177,15.137,-41.016,-389.648,-36.133,0.000
1587072116.181,354.004,-39.062,-375.977,-56.641,0.000
1587072116.185,2.930,-41.016,-524.902,-13.672,0.000
1587072116.189,-414.062,-49.805,-591.309,14.160,0.000
1587072116.193,-126.953,-46.875,-439.941,-23.926,0.000
