timestamps,TP9,AF7,AF8,TP10,Right AUX
1587071667.666,791.992,35.156,-247.070,-0.488,0.000
1587071667.670,143.555,18.066,-410.156,37.109,0.000
1587071667.673,-788.574,-15.137,-677.246,25.391,0.000
1587071667.677,-308.594,-2.441,-571.777,-5.859,0.000
1587071667.681,707.031,30.762,-252.441,9.766,0.000
1587071667.685,409.180,14.648,-356.934,16.113,0.000
1587071667.689,-658.691,-18.555,-681.641,9.277,0.000
1587071667.693,-585.449,-13.672,-614.258,-9.766,0.000
1587071667.697,496.582,26.367,-295.410,-10.254,0.000
1587071667.701,636.719,38.574,-246.582,16.113,0.000
1587071667.705,-416.016,-18.066,-594.727,18.066,0.000
1587071667.709,-763.184,-41.504,-729.980,-0.488,0.000
1587071667.712,223.145,13.672,-321.289,-18.066,0.000
1587071667.716,755.859,28.809,-222.656,0.000,0.000
1587071667.720,-110.840,0.000,-438.965,21.973,0.000
1587071667.724,-829.102,-17.090,-551.758,-2.441,0.000
1587071667.728,-86.426,-7.324,-459.473,-16.113,0.000
1587071667.732,769.531,10.254,-341.797,14.160,0.000
1587071667.736,183.594,-17.090,-558.105,16.602,0.000
1587071667.740,-778.809,-34.668,-689.453,-7.324,0.000
1587071667.744,-381.836,5.859,-451.660,-34.668,0.000
1587071667.748,666.504,27.832,-298.828,-35.645,0.000
1587071667.752,497.070,9.277,-395.996,-9.766,0.000
1587071667.755,-595.703,-7.812,-556.152,15.625,0.000
1587071667.759,-643.555,2.930,-468.750,2.930,0.000
1587071667.763,438.477,14.648,-378.418,-15.137,0.000
1587071667.767,682.617,14.648,-382.812,1.465,0.000
1587071667.771,-320.312,-0.488,-468.262,-9.766,0.000
1587071667.775,-754.395,-9.766,-534.180,-31.738,0.000
1587071667.779,145.508,-4.883,-520.508,-26.367,0.000
1587071667.783,759.766,7.324,-474.609,-11.230,0.000
1587071667.787,-24.902,4.395,-469.238,-3.418,0.000
1587071667.791,-803.223,-18.555,-589.844,-9.766,0.000
1587071667.795,-161.621,-18.555,-604.980,-7.324,0.000
1587071667.798,741.211,6.348,-458.984,-7.812,0.000
1587071667.802,283.691,23.926,-331.055,-2.441,0.000
1587071667.806,-725.098,-2.930,-553.711,-4.883,0.000
1587071667.810,-468.750,-7.812,-556.641,-27.344,0.000
1587071667.814,625.977,24.902,-280.762,-15.137,0.000
1587071667.818,534.180,26.855,-246.094,12.207,0.000
1587071667.822,-474.609,-6.348,-512.207,4.883,0.000
1587071667.826,-578.613,-23.926,-637.207,-29.785,0.000
1587071667.830,349.121,7.324,-427.734,-7.812,0.000
1587071667.834,712.402,36.621,-241.211,15.625,0.000
1587071667.837,-253.906,4.395,-436.523,-11.230,0.000
1587071667.841,-802.246,-31.250,-627.930,-23.926,0.000
1587071667.845,52.246,-8.789,-446.777,-38.574,0.000
1587071667.849,772.949,23.926,-264.648,-33.203,0.000
1587071667.853,49.805,8.301,-408.203,-2.930,0.000
1587071667.857,-814.941,-17.578,-591.309,-4.883,0.000
1587071667.861,-256.348,-2.930,-469.238,-38.086,0.000
1587071667.865,728.516,22.949,-275.879,-28.809,0.000
1587071667.869,346.191,8.789,-404.297,4.395,0.000
1587071667.873,-724.121,-21.973,-690.430,13.672,0.000
1587071667.877,-512.207,-11.230,-592.285,-4.395,0.000
1587071667.880,575.195,17.578,-355.957,-31.738,0.000
1587071667.884,609.375,5.859,-462.891,-5.371,0.000
1587071667.888,-460.938,-23.926,-700.684,14.160,0.000
1587071667.892,-732.910,-1.465,-536.621,-17.090,0.000
1587071667.896,290.039,25.879,-355.957,-26.855,0.000
1587071667.900,712.891,28.809,-328.613,-6.836,0.000
1587071667.904,-215.332,5.371,-501.465,7.812,0.000
1587071667.908,-805.664,-9.766,-611.328,-16.113,0.000
1587071667.912,-13.672,10.742,-475.098,-43.945,0.000
1587071667.916,775.879,21.484,-387.695,-32.227,0.000
1587071667.920,146.973,-3.418,-511.230,-13.184,0.000
1587071667.923,-786.621,-24.414,-620.605,6.348,0.000
1587071667.927,-327.637,1.953,-496.582,-6.836,0.000
1587071667.931,698.242,6.836,-477.539,-35.156,0.000
1587071667.935,416.016,3.906,-463.867,4.395,0.000
1587071667.939,-659.668,11.230,-497.559,3.418,0.000
1587071667.943,-596.680,-3.418,-583.008,-32.715,0.000
1587071667.947,493.164,9.277,-380.371,-33.203,0.000
1587071667.951,666.016,25.879,-279.785,-0.488,0.000
1587071667.955,-388.184,0.000,-472.168,3.418,0.000
1587071667.959,-718.262,-18.555,-623.047,2.930,0.000
1587071667.962,247.070,-0.488,-507.812,15.137,0.000
1587071667.966,759.766,19.043,-346.680,-2.441,0.000
1587071667.970,-74.219,4.395,-472.656,4.883,0.000
1587071667.974,-829.102,-30.762,-729.980,2.441,0.000
1587071667.978,-109.375,-23.438,-659.180,-32.715,0.000
1587071667.982,767.578,29.297,-269.531,-38.086,0.000
1587071667.986,236.328,24.414,-360.840,-17.578,0.000
1587071667.990,-740.723,-16.602,-615.234,-15.137,0.000
1587071667.994,-400.879,-4.883,-505.859,-34.180,0.000
1587071667.998,636.719,24.414,-276.367,-33.691,0.000
