timestamps,TP9,AF7,AF8,TP10,Right AUX
1587070385.952,-290.039,-938.965,-263.672,-56.152,0.000
1587070385.956,-36.621,-921.387,-254.395,-104.004,0.000
1587070385.960,177.734,-518.066,103.516,-196.777,0.000
1587070385.964,-17.090,-489.746,136.719,-151.855,0.000
1587070385.968,-279.297,-893.066,-232.422,-56.641,0.000
1587070385.972,-135.254,-1000.000,-384.277,-84.473,0.000
1587070385.976,164.062,-688.477,-34.668,-183.594,0.000
1587070385.980,69.824,-396.973,228.027,-196.777,0.000
1587070385.984,-224.121,-763.184,-140.625,-104.004,0.000
1587070385.987,-193.848,-1000.000,-453.613,-92.285,0.000
1587070385.991,108.887,-640.625,-21.484,-196.777,0.000
1587070385.995,138.184,-248.047,285.156,-213.867,0.000
1587070385.999,-165.527,-622.559,-89.844,-88.867,0.000
1587070386.003,-265.137,-1000.000,-459.473,-13.184,0.000
1587070386.007,21.973,-797.363,-92.773,-103.027,0.000
1587070386.011,175.781,-251.953,277.344,-179.199,0.000
1587070386.015,-82.031,-553.711,-50.781,-94.238,0.000
1587070386.019,-273.926,-1000.000,-452.148,-9.766,0.000
1587070386.023,-47.852,-863.281,-215.820,-49.316,0.000
1587070386.027,180.176,-315.430,262.207,-107.910,0.000
1587070386.030,12.695,-562.500,-98.633,-51.270,0.000
1587070386.034,-257.324,-1000.000,-558.105,62.988,0.000
1587070386.038,-128.418,-806.152,-151.367,20.020,0.000
1587070386.042,176.270,-353.027,173.828,-100.586,0.000
1587070386.046,107.422,-526.367,48.340,-84.961,0.000
1587070386.050,-216.309,-943.359,-250.000,-4.395,0.000
1587070386.054,-202.637,-853.027,-218.262,-1.953,0.000
1587070386.058,119.629,-459.473,95.215,-86.426,0.000
1587070386.062,149.902,-400.391,173.340,-113.770,0.000
1587070386.066,-155.762,-864.258,-177.734,-48.828,0.000
1587070386.069,-242.676,-1000.000,-370.117,-41.016,0.000
1587070386.073,29.785,-713.867,-18.066,-111.816,0.000
1587070386.077,194.824,-730.469,-3.418,-208.984,0.000
1587070386.081,-55.664,-824.219,-125.977,-187.012,0.000
1587070386.085,-290.039,-765.137,-100.098,-105.957,0.000
1587070386.089,-80.566,-785.156,-70.312,-145.020,0.000
1587070386.093,219.238,-451.660,177.734,-206.055,0.000
1587070386.097,69.336,-417.969,139.648,-186.523,0.000
1587070386.101,-271.973,-843.262,-155.273,-125.000,0.000
1587070386.105,-176.758,-970.703,-307.129,-131.836,0.000
1587070386.109,128.906,-666.504,-67.871,-227.539,0.000
1587070386.112,98.145,-448.242,141.602,-246.094,0.000
1587070386.116,-207.031,-830.566,-142.090,-150.879,0.000
1587070386.120,-256.348,-1000.000,-486.328,-117.188,0.000
1587070386.124,54.688,-768.555,-214.844,-215.820,0.000
1587070386.128,154.297,-199.219,284.180,-222.656,0.000
1587070386.132,-115.234,-378.906,99.609,-101.562,0.000
1587070386.136,-269.043,-878.906,-253.906,-82.031,0.000
1587070386.140,-16.602,-681.152,-71.289,-135.742,0.000
1587070386.144,189.941,-169.922,255.371,-162.109,0.000
1587070386.148,-30.762,-307.129,112.793,-107.422,0.000
1587070386.152,-268.066,-853.516,-240.234,-15.137,0.000
1587070386.155,-65.918,-754.883,-112.793,-48.340,0.000
1587070386.159,200.195,-500.977,165.527,-208.984,0.000
1587070386.163,52.246,-707.520,44.434,-229.492,0.000
1587070386.167,-237.305,-988.770,-340.820,-104.492,0.000
1587070386.171,-174.316,-812.988,-193.359,-88.867,0.000
1587070386.175,158.203,-192.871,291.992,-182.617,0.000
1587070386.179,155.762,-199.219,178.223,-219.238,0.000
1587070386.183,-177.246,-758.301,-152.832,-150.879,0.000
1587070386.187,-200.684,-725.098,-74.707,-103.516,0.000
1587070386.191,97.656,-539.062,138.184,-185.059,0.000
1587070386.194,197.754,-552.734,112.793,-258.789,0.000
1587070386.198,-64.453,-637.207,53.223,-184.082,0.000
1587070386.202,-229.004,-794.434,-97.168,-108.887,0.000
1587070386.206,8.301,-759.277,-92.773,-184.570,0.000
1587070386.210,219.727,-717.285,-10.742,-261.230,0.000
1587070386.214,20.508,-897.949,-215.332,-208.008,0.000
1587070386.218,-235.352,-777.832,-203.125,-130.859,0.000
1587070386.222,-80.078,-718.262,-112.305,-123.535,0.000
1587070386.226,196.777,-576.660,141.113,-189.941,0.000
1587070386.230,98.633,-328.613,225.586,-182.129,0.000
1587070386.234,-206.055,-478.516,92.773,-103.027,0.000
1587070386.237,-164.062,-677.734,57.129,-142.090,0.000
1587070386.241,142.090,-526.855,157.715,-225.098,0.000
1587070386.245,176.758,-204.590,246.094,-197.266,0.000
1587070386.249,-133.789,-342.285,125.000,-83.984,0.000
1587070386.253,-225.586,-902.344,-233.887,-22.461,0.000
1587070386.257,71.289,-854.492,-191.406,-93.750,0.000
1587070386.261,213.379,-295.898,175.293,-166.016,0.000
1587070386.265,-40.527,-245.117,200.195,-97.656,0.000
1587070386.269,-249.023,-725.098,-105.469,-83.496,0.000
1587070386.273,-18.555,-957.520,-329.102,-220.215,0.000
1587070386.277,205.566,-422.363,70.801,-281.738,0.000
1587070386.280,8.301,-370.117,131.836,-242.676,0.000
1587070386.284,-235.840,-936.523,-366.699,-198.242,0.000
1587070386.288,-128.418,-958.008,-383.301,-236.328,0.000
1587070386.292,165.527,-377.930,125.488,-334.473,0.000
1587070386.296,122.070,-137.207,259.277,-310.547,0.000
1587070386.300,-175.781,-735.352,-296.875,-172.852,0.000
1587070386.304,-194.336,-1000.000,-536.621,-184.570,0.000
1587070386.308,118.164,-520.508,60.059,-335.938,0.000
1587070386.312,186.523,-76.172,297.363,-361.816,0.000
1587070386.316,-137.207,-588.867,-144.531,-262.695,0.000
1587070386.319,-251.953,-1000.000,-440.918,-212.891,0.000
1587070386.323,53.223,-553.223,3.906,-263.672,0.000
1587070386.327,231.934,-133.789,263.184,-320.312,0.000
1587070386.331,-20.020,-530.762,-15.625,-262.207,0.000
1587070386.335,-222.168,-954.102,-314.453,-163.086,0.000
1587070386.339,-34.180,-769.043,-194.824,-188.477,0.000
1587070386.343,223.145,-546.875,110.840,-256.836,0.000
1587070386.347,101.562,-778.320,-81.543,-215.332,0.000
1587070386.351,-206.543,-1000.000,-415.527,-166.016,0.000
1587070386.355,-135.254,-870.605,-238.281,-202.148,0.000
1587070386.359,169.434,-513.672,112.305,-273.438,0.000
1587070386.362,130.859,-681.641,-4.883,-248.047,0.000
1587070386.366,-175.293,-971.191,-317.383,-150.879,0.000
1587070386.370,-208.984,-873.535,-263.672,-148.926,0.000
1587070386.374,83.496,-594.727,67.383,-231.934,0.000
1587070386.378,174.316,-595.215,166.504,-248.535,0.000
1587070386.382,-101.074,-770.020,11.230,-214.355,0.000
1587070386.386,-245.117,-853.516,-166.016,-225.586,0.000
1587070386.390,13.672,-868.164,-221.191,-287.598,0.000
1587070386.394,210.938,-796.387,-52.246,-338.379,0.000
1587070386.398,0.488,-797.852,-45.410,-302.246,0.000
1587070386.402,-208.984,-960.449,-293.945,-253.906,0.000
1587070386.405,-59.570,-1000.000,-422.852,-299.805,0.000
1587070386.409,175.293,-748.047,-153.809,-365.234,0.000
1587070386.413,56.152,-293.457,242.676,-329.590,0.000
1587070386.417,-239.746,-656.738,-70.801,-238.281,0.000
1587070386.421,-181.152,-964.355,-281.250,-244.629,0.000
1587070386.425,125.488,-479.004,83.008,-322.754,0.000
1587070386.429,161.133,-83.496,266.113,-272.949,0.000
1587070386.433,-137.695,-537.598,5.859,-139.648,0.000
1587070386.437,-212.891,-986.816,-292.969,-93.262,0.000
1587070386.441,97.656,-826.660,-184.082,-136.719,0.000
1587070386.444,233.887,-474.121,169.922,-129.883,0.000
1587070386.448,-45.410,-571.289,89.844,-43.945,0.000
1587070386.452,-231.445,-987.793,-354.004,-16.113,0.000
1587070386.456,-0.488,-803.223,-125.000,-96.191,0.000
1587070386.460,233.398,-352.051,267.090,-164.062,0.000
1587070386.464,41.016,-467.773,114.258,-118.652,0.000
1587070386.468,-226.562,-921.875,-220.215,-39.551,0.000
1587070386.472,-103.027,-979.492,-275.391,-85.938,0.000
1587070386.476,181.152,-566.895,41.504,-174.805,0.000
1587070386.480,88.867,-501.953,120.605,-145.508,0.000
1587070386.484,-203.613,-944.336,-250.488,-29.785,0.000
1587070386.487,-134.766,-1000.000,-406.250,-1.953,0.000
1587070386.491,166.016,-658.203,16.113,-62.988,0.000
1587070386.495,186.523,-553.223,44.434,-63.477,0.000
1587070386.499,-111.328,-988.281,-412.109,15.137,0.000
1587070386.503,-204.102,-874.512,-267.090,52.246,0.000
1587070386.507,69.336,-467.285,75.195,-3.418,0.000
1587070386.511,207.520,-300.781,245.605,-72.754,0.000
1587070386.515,-38.086,-551.270,90.332,-38.086,0.000
1587070386.519,-235.352,-901.367,-266.113,77.148,0.000
1587070386.523,-15.625,-813.965,-159.668,45.410,0.000
1587070386.527,227.051,-441.895,197.266,-46.875,0.000
1587070386.530,48.340,-459.961,110.352,6.348,0.000
1587070386.534,-232.910,-880.859,-295.898,62.500,0.000
1587070386.538,-97.168,-978.516,-343.262,36.621,0.000
1587070386.542,187.988,-888.672,-254.395,-62.500,0.000
1587070386.546,125.488,-639.160,-12.695,-78.613,0.000
1587070386.550,-172.852,-597.168,-5.859,2.930,0.000
1587070386.554,-182.617,-1000.000,-384.277,11.230,0.000
1587070386.558,125.488,-766.602,-113.281,-66.406,0.000
1587070386.562,184.570,-210.938,254.883,-94.727,0.000
1587070386.566,-111.816,-608.887,-86.426,-6.836,0.000
1587070386.569,-235.352,-1000.000,-487.305,34.180,0.000
1587070386.573,44.922,-749.023,-173.828,-40.527,0.000
1587070386.577,220.215,-389.648,189.453,-85.449,0.000
1587070386.581,-16.602,-711.426,-43.457,-36.133,0.000
1587070386.585,-240.234,-1000.000,-506.836,58.105,0.000
1587070386.589,-50.781,-829.590,-379.883,32.227,0.000
1587070386.593,209.961,-196.777,215.820,-30.762,0.000
1587070386.597,52.734,-133.301,218.262,22.949,0.000
1587070386.601,-236.816,-747.070,-173.828,88.867,0.000
1587070386.605,-133.789,-812.012,-135.742,89.355,0.000
1587070386.609,170.410,-214.355,256.348,16.113,0.000
1587070386.612,132.812,-133.789,197.754,6.836,0.000
1587070386.616,-184.082,-772.461,-207.520,78.613,0.000
1587070386.620,-215.820,-929.688,-278.809,64.941,0.000
1587070386.624,78.613,-441.406,89.844,-8.301,0.000
1587070386.628,153.809,-405.273,199.707,-33.203,0.000
1587070386.632,-137.207,-835.449,-247.070,26.367,0.000
1587070386.636,-271.484,-1000.000,-498.047,81.055,0.000
1587070386.640,-3.418,-666.504,-39.062,40.039,0.000
1587070386.644,159.668,-268.066,213.379,-0.488,0.000
1587070386.648,-43.945,-537.109,79.102,58.594,0.000
1587070386.652,-275.879,-869.141,-160.645,146.484,0.000
1587070386.655,-120.605,-714.355,-85.938,154.785,0.000
1587070386.659,147.461,-521.973,145.020,82.031,0.000
