timestamps,TP9,AF7,AF8,TP10,Right AUX
1586465045.457,-201.660,-55.176,-810.059,-94.238,0.000
1586465045.461,45.410,97.656,-790.527,-141.602,0.000
1586465045.464,145.020,134.277,-758.301,74.707,0.000
1586465045.468,-83.496,38.574,-762.695,148.438,0.000
1586465045.472,-217.773,-210.449,-855.957,-60.059,0.000
1586465045.476,-8.789,-259.766,-839.355,-174.316,0.000
1586465045.480,168.457,-496.094,-784.180,10.254,0.000
1586465045.484,-7.324,-423.340,-787.109,149.414,0.000
1586465045.488,-222.168,-42.969,-812.988,-8.789,0.000
1586465045.492,-90.332,-155.762,-823.242,-171.875,0.000
1586465045.496,142.090,74.219,-758.789,-81.055,0.000
1586465045.500,59.082,386.719,-695.312,135.742,0.000
1586465045.503,-181.641,216.309,-772.949,64.941,0.000
1586465045.507,-155.762,-147.461,-860.840,-162.598,0.000
1586465045.511,100.098,22.461,-809.082,-115.234,0.000
1586465045.515,145.996,400.879,-704.590,122.559,0.000
1586465045.519,-122.070,151.855,-802.734,100.098,0.000
1586465045.523,-218.262,-435.547,-881.348,-111.328,0.000
1586465045.527,18.555,-481.934,-839.355,-190.918,0.000
1586465045.531,129.395,231.445,-711.914,9.277,0.000
1586465045.535,-76.172,434.082,-720.215,117.676,0.000
1586465045.539,-209.961,-529.297,-940.430,-49.805,0.000
1586465045.543,-37.598,-700.195,-864.746,-176.270,0.000
1586465045.546,130.371,321.777,-645.996,-56.152,0.000
1586465045.550,3.418,352.051,-754.883,134.766,0.000
1586465045.554,-201.172,-349.121,-901.367,32.715,0.000
1586465045.558,-99.609,-348.145,-833.984,-177.734,0.000
1586465045.562,124.023,348.633,-671.875,-131.836,0.000
1586465045.566,77.637,413.086,-728.516,84.961,0.000
1586465045.570,-156.738,-515.625,-893.066,84.473,0.000
1586465045.574,-163.574,-708.496,-853.027,-148.438,0.000
1586465045.578,86.426,55.176,-769.531,-202.637,0.000
1586465045.582,136.230,148.438,-791.016,37.598,0.000
1586465045.586,-95.215,-364.746,-843.750,89.844,0.000
1586465045.589,-192.871,-412.598,-849.121,-104.492,0.000
1586465045.593,4.395,139.160,-735.840,-200.195,0.000
1586465045.597,152.344,205.078,-778.809,-0.488,0.000
1586465045.601,-29.297,-186.523,-886.719,146.973,0.000
1586465045.605,-208.008,-229.980,-849.609,-33.691,0.000
1586465045.609,-51.758,145.508,-752.441,-203.125,0.000
1586465045.613,165.527,147.461,-790.527,-56.152,0.000
1586465045.617,53.711,-647.461,-930.664,145.996,0.000
1586465045.621,-196.777,-669.434,-866.211,14.648,0.000
1586465045.625,-119.629,-35.156,-779.297,-201.172,0.000
1586465045.628,125.977,-69.824,-824.707,-131.348,0.000
1586465045.632,103.027,-476.562,-916.992,115.723,0.000
1586465045.636,-159.180,-387.207,-864.746,92.773,0.000
1586465045.640,-190.430,-417.480,-863.770,-138.184,0.000
1586465045.644,56.641,-85.449,-793.945,-195.312,0.000
1586465045.648,143.066,420.410,-672.363,20.508,0.000
1586465045.652,-59.570,333.496,-763.184,99.121,0.000
1586465045.656,-180.176,-71.289,-856.445,-100.098,0.000
1586465045.660,4.883,-177.246,-852.539,-207.520,0.000
1586465045.664,161.133,-9.766,-803.711,-6.836,0.000
1586465045.668,-8.789,104.492,-754.883,142.578,0.000
1586465045.671,-207.520,-69.336,-842.773,-18.066,0.000
1586465045.675,-51.758,-732.422,-901.855,-188.477,0.000
1586465045.679,170.898,-257.812,-744.629,-87.891,0.000
1586465045.683,64.941,600.098,-669.922,104.492,0.000
1586465045.687,-179.199,-29.297,-877.930,37.598,0.000
1586465045.691,-139.648,-331.055,-888.672,-158.203,0.000
1586465045.695,101.074,108.398,-751.953,-153.809,0.000
1586465045.699,116.211,312.012,-737.305,75.195,0.000
1586465045.703,-120.117,-51.758,-803.711,93.750,0.000
1586465045.707,-178.223,-314.453,-871.582,-135.254,0.000
1586465045.711,63.965,-46.875,-838.867,-200.195,0.000
1586465045.714,161.621,250.977,-743.164,32.227,0.000
1586465045.718,-54.688,30.273,-740.234,131.348,0.000
1586465045.722,-189.453,-339.355,-839.355,-81.055,0.000
1586465045.726,-19.043,-118.652,-843.750,-232.422,0.000
1586465045.730,163.086,141.602,-775.879,-62.500,0.000
1586465045.734,3.418,-263.672,-825.684,131.348,0.000
