timestamps,TP9,AF7,AF8,TP10,Right AUX
1586464766.128,-201.660,-295.410,-257.324,13.184,0.000
1586464766.132,-56.641,-98.633,-178.223,-287.598,0.000
1586464766.136,167.969,285.156,51.758,-118.164,0.000
1586464766.140,72.266,101.074,-29.297,217.773,0.000
1586464766.144,-175.781,-330.566,-254.395,114.746,0.000
1586464766.148,-126.953,-338.379,-265.625,-227.539,0.000
1586464766.152,116.699,-31.250,-81.055,-221.191,0.000
1586464766.156,117.676,-156.738,-110.352,147.461,0.000
1586464766.160,-148.438,-684.570,-378.418,187.988,0.000
1586464766.164,-227.051,-283.691,-231.934,-178.223,0.000
1586464766.168,27.832,142.578,-36.621,-301.758,0.000
1586464766.171,143.555,187.500,86.426,30.762,0.000
1586464766.175,-109.863,86.426,27.832,193.848,0.000
1586464766.179,-255.859,-23.926,-82.520,-78.613,0.000
1586464766.183,-31.250,-175.293,-221.680,-296.875,0.000
1586464766.187,152.344,-139.160,-186.035,-54.688,0.000
1586464766.191,-46.387,63.965,0.000,205.566,0.000
1586464766.195,-253.418,-233.398,-208.496,18.555,0.000
1586464766.199,-131.836,-314.453,-330.078,-298.340,0.000
1586464766.203,108.887,-486.328,-355.957,-158.203,0.000
1586464766.207,21.484,-303.711,-193.359,163.086,0.000
1586464766.211,-239.258,237.793,-73.242,56.641,0.000
1586464766.214,-198.242,-144.043,-386.719,-260.254,0.000
1586464766.218,12.695,72.266,-207.031,-321.777,0.000
1586464766.222,10.742,696.289,119.629,-10.254,0.000
1586464766.226,-259.766,663.086,68.848,61.523,0.000
1586464766.230,-329.102,108.398,-271.484,-259.277,0.000
1586464766.234,-107.422,173.828,-204.590,-434.570,0.000
1586464766.238,-17.090,693.359,108.887,-157.715,0.000
1586464766.242,-248.535,422.363,-127.930,22.461,0.000
1586464766.246,-391.113,-340.820,-478.027,-218.750,0.000
1586464766.250,-207.520,-296.875,-363.281,-462.891,0.000
1586464766.253,-42.969,639.648,92.285,-287.109,0.000
1586464766.257,-204.102,856.934,130.371,-8.789,0.000
1586464766.261,-408.691,-201.660,-368.652,-130.371,0.000
1586464766.265,-288.574,-647.949,-471.191,-432.617,0.000
1586464766.269,-62.012,290.039,-32.715,-367.188,0.000
1586464766.273,-123.047,378.906,20.996,-8.301,0.000
1586464766.277,-375.488,-151.855,-249.512,-21.484,0.000
1586464766.281,-333.984,-228.516,-305.664,-349.609,0.000
1586464766.285,-54.199,218.262,-52.246,-397.461,0.000
1586464766.289,-4.883,212.891,-39.062,-37.109,0.000
1586464766.293,-255.371,-515.625,-308.105,86.914,0.000
1586464766.296,-348.145,-501.953,-226.074,-217.773,0.000
1586464766.300,-102.539,216.309,65.918,-398.438,0.000
1586464766.304,75.195,322.754,67.383,-72.266,0.000
1586464766.308,-101.562,22.949,-41.992,181.152,0.000
1586464766.312,-251.953,-135.254,-46.875,-52.246,0.000
