timestamps,TP9,AF7,AF8,TP10,Right AUX
1587071688.757,64.941,747.070,7.812,-90.820,0.000
1587071688.761,66.406,264.648,12.207,-27.344,0.000
1587071688.765,240.234,461.914,54.199,316.895,0.000
1587071688.769,262.695,977.051,65.918,325.195,0.000
1587071688.773,106.445,857.910,24.414,17.090,0.000
1587071688.777,55.176,115.234,-2.441,-61.523,0.000
1587071688.780,187.500,-114.258,43.457,255.371,0.000
1587071688.784,269.043,688.477,88.379,399.902,0.000
1587071688.788,161.621,-936.035,50.293,108.887,0.000
1587071688.792,40.039,264.160,-3.418,-105.957,0.000
1587071688.796,136.230,54.688,31.250,121.094,0.000
1587071688.800,285.156,922.363,78.613,375.977,0.000
1587071688.804,218.750,-998.047,46.875,220.703,0.000
1587071688.808,42.480,415.039,9.277,-61.523,0.000
1587071688.812,94.727,319.824,37.598,56.152,0.000
1587071688.816,264.160,899.902,77.637,354.004,0.000
1587071688.820,261.230,950.684,41.016,287.109,0.000
1587071688.823,78.125,326.172,-15.137,-44.434,0.000
1587071688.827,22.461,-34.668,2.441,-43.945,0.000
1587071688.831,187.500,605.957,50.293,266.602,0.000
1587071688.835,267.090,-939.941,28.809,311.035,0.000
1587071688.839,137.207,189.941,-2.930,39.551,0.000
1587071688.843,3.418,-292.480,28.320,-101.562,0.000
1587071688.847,128.906,569.824,67.383,159.180,0.000
1587071688.851,282.715,-983.398,65.430,375.488,0.000
1587071688.855,173.340,636.719,28.320,141.602,0.000
1587071688.859,-10.742,375.488,22.949,-141.602,0.000
1587071688.862,71.777,591.797,43.945,49.805,0.000
1587071688.866,255.859,895.020,40.527,346.191,0.000
1587071688.870,217.285,710.938,0.977,202.637,0.000
1587071688.874,53.223,160.645,-4.883,-56.641,0.000
1587071688.878,65.918,89.355,23.438,39.551,0.000
1587071688.882,235.352,393.555,22.461,303.223,0.000
1587071688.886,263.672,628.418,13.184,274.414,0.000
1587071688.890,76.172,770.020,17.578,-47.363,0.000
1587071688.894,20.020,539.062,4.395,-52.246,0.000
1587071688.898,194.824,506.836,12.207,268.555,0.000
1587071688.902,283.203,804.199,22.461,339.844,0.000
1587071688.905,129.883,921.387,-3.906,41.992,0.000
1587071688.909,17.090,739.258,-10.742,-111.328,0.000
1587071688.913,159.180,276.367,7.324,194.336,0.000
1587071688.917,290.527,151.367,26.855,421.875,0.000
1587071688.921,187.988,693.848,40.039,158.203,0.000
1587071688.925,30.273,650.391,12.695,-104.980,0.000
1587071688.929,121.094,66.406,2.930,118.652,0.000
1587071688.933,291.504,396.484,41.504,407.715,0.000
1587071688.937,235.352,-965.332,17.578,262.695,0.000
1587071688.941,49.805,487.305,-45.410,-83.008,0.000
1587071688.945,39.062,373.535,-4.883,-0.488,0.000
1587071688.948,221.191,889.648,42.480,342.285,0.000
1587071688.952,270.508,-962.402,-3.906,321.777,0.000
1587071688.956,111.816,736.816,-58.594,-8.301,0.000
1587071688.960,45.898,367.188,-74.219,-92.285,0.000
1587071688.964,196.777,595.215,-50.293,198.242,0.000
1587071688.968,323.242,-978.027,-42.480,320.801,0.000
1587071688.972,230.469,550.293,-93.262,62.988,0.000
1587071688.976,65.430,-270.508,-93.750,-115.723,0.000
1587071688.980,143.066,457.520,-18.555,130.859,0.000
1587071688.984,328.125,-903.320,14.160,373.535,0.000
1587071688.987,267.090,715.332,-22.461,184.082,0.000
1587071688.991,83.008,400.391,-46.875,-97.168,0.000
1587071688.995,120.605,515.625,-4.395,58.594,0.000
1587071688.999,295.898,805.664,34.180,338.379,0.000
1587071689.003,281.738,937.012,23.926,242.188,0.000
1587071689.007,105.957,741.699,-8.301,-63.477,0.000
1587071689.011,100.098,400.879,-8.301,-11.230,0.000
1587071689.015,270.508,764.160,42.969,306.641,0.000
1587071689.019,317.871,681.641,40.039,350.098,0.000
1587071689.023,149.902,316.895,32.715,30.273,0.000
1587071689.027,48.340,860.840,60.547,-94.727,0.000
1587071689.030,201.172,979.492,58.105,219.238,0.000
1587071689.034,321.777,926.270,60.059,385.254,0.000
1587071689.038,222.168,952.637,49.805,132.812,0.000
1587071689.042,78.125,950.195,27.344,-86.914,0.000
1587071689.046,170.898,950.684,29.785,121.094,0.000
1587071689.050,333.008,956.543,57.617,373.535,0.000
1587071689.054,250.000,958.984,42.969,204.102,0.000
1587071689.058,76.172,566.895,16.113,-100.586,0.000
1587071689.062,115.723,277.832,39.551,44.922,0.000
1587071689.066,295.898,523.926,78.125,363.281,0.000
1587071689.070,296.875,926.270,96.191,268.066,0.000
