timestamps,TP9,AF7,AF8,TP10,Right AUX
1587070390.634,12.207,160.645,142.090,90.332,0.000
1587070390.637,69.336,271.973,371.582,170.898,0.000
1587070390.641,-56.152,-15.625,-32.227,-146.484,0.000
1587070390.645,-127.441,-219.727,-382.324,-274.414,0.000
1587070390.649,-19.043,136.230,57.617,32.715,0.000
1587070390.653,38.086,246.582,341.797,196.289,0.000
1587070390.657,-41.504,-71.289,-28.809,-38.574,0.000
1587070390.661,-131.836,-115.723,-225.586,-266.602,0.000
1587070390.665,-69.336,-11.230,-79.102,-70.801,0.000
1587070390.669,40.039,-172.363,-32.715,189.453,0.000
1587070390.673,-11.230,280.273,347.168,24.414,0.000
1587070390.677,-107.422,138.184,33.203,-257.324,0.000
1587070390.680,-82.520,-363.281,-442.383,-147.949,0.000
1587070390.684,24.414,326.660,302.246,141.113,0.000
1587070390.688,44.922,776.367,748.047,120.117,0.000
1587070390.692,-60.059,-228.516,-274.902,-183.105,0.000
1587070390.696,-102.539,-885.254,-934.082,-229.004,0.000
1587070390.700,-16.602,-365.234,-331.055,66.895,0.000
1587070390.704,27.344,375.488,429.688,135.254,0.000
1587070390.708,-57.617,325.195,282.715,-144.043,0.000
1587070390.712,-103.027,-618.164,-659.180,-258.301,0.000
1587070390.716,-18.555,-638.184,-653.809,5.371,0.000
1587070390.720,40.527,598.633,553.711,171.875,0.000
1587070390.723,-31.250,575.195,512.207,-48.828,0.000
1587070390.727,-109.375,-576.660,-609.863,-274.414,0.000
1587070390.731,-78.125,-332.031,-393.066,-104.004,0.000
1587070390.735,12.207,679.688,628.906,147.461,0.000
1587070390.739,0.488,347.168,367.676,35.645,0.000
1587070390.743,-86.914,-632.324,-616.699,-220.703,0.000
1587070390.747,-54.688,-733.398,-719.238,-115.234,0.000
1587070390.751,41.992,29.297,71.289,170.898,0.000
1587070390.755,27.832,365.234,429.199,111.816,0.000
1587070390.759,-73.242,-671.387,-626.953,-185.059,0.000
1587070390.762,-121.582,-825.195,-900.879,-242.676,0.000
1587070390.766,-29.785,251.465,161.133,46.875,0.000
1587070390.770,41.992,762.207,767.090,163.086,0.000
1587070390.774,-36.133,198.242,188.477,-108.887,0.000
1587070390.778,-111.328,-348.633,-461.426,-252.930,0.000
1587070390.782,-39.062,116.699,28.809,0.488,0.000
1587070390.786,58.594,558.594,572.266,212.891,0.000
1587070390.790,-13.184,287.598,293.457,7.324,0.000
1587070390.794,-107.910,-498.047,-532.715,-259.277,0.000
1587070390.798,-70.312,-600.098,-613.770,-120.605,0.000
1587070390.802,36.621,89.844,135.254,158.203,0.000
1587070390.805,33.203,346.680,395.020,72.266,0.000
1587070390.809,-96.680,-171.875,-216.797,-228.027,0.000
1587070390.813,-111.328,-281.250,-395.508,-198.242,0.000
1587070390.817,24.902,-27.832,6.348,126.953,0.000
1587070390.821,59.082,69.824,208.496,185.547,0.000
1587070390.825,-56.641,156.738,130.371,-143.066,0.000
1587070390.829,-111.328,-234.863,-335.449,-254.883,0.000
1587070390.833,-24.902,-11.230,-20.020,43.945,0.000
1587070390.837,47.363,692.871,718.750,179.688,0.000
1587070390.841,-20.020,173.828,150.391,-64.453,0.000
1587070390.845,-116.211,-803.711,-843.262,-258.301,0.000
1587070390.848,-74.219,-850.098,-755.859,-48.828,0.000
1587070390.852,6.348,283.203,374.512,184.082,0.000
1587070390.856,-33.203,807.129,757.324,10.254,0.000
1587070390.860,-115.234,-152.344,-233.398,-239.746,0.000
1587070390.864,-83.008,-634.766,-659.668,-121.582,0.000
1587070390.868,29.785,242.676,273.438,148.438,0.000
1587070390.872,51.270,755.371,730.469,105.469,0.000
1587070390.876,-57.617,-18.066,-97.168,-209.473,0.000
1587070390.880,-106.445,-443.848,-532.715,-223.145,0.000
1587070390.884,-18.066,159.668,104.492,83.008,0.000
1587070390.887,24.414,426.270,431.641,151.855,0.000
1587070390.891,-54.688,-333.496,-314.941,-110.840,0.000
1587070390.895,-115.234,-924.805,-949.707,-249.512,0.000
1587070390.899,-51.270,-27.832,-101.074,-4.883,0.000
1587070390.903,39.551,741.699,723.633,184.570,0.000
1587070390.907,-15.625,83.984,89.844,-43.457,0.000
1587070390.911,-105.957,-457.520,-529.297,-253.418,0.000
1587070390.915,-63.965,-17.090,-108.887,-70.801,0.000
1587070390.919,28.809,595.703,584.961,170.410,0.000
1587070390.923,28.320,234.375,304.199,46.387,0.000
1587070390.927,-84.961,-577.148,-564.453,-223.145,0.000
1587070390.930,-101.562,-303.711,-375.488,-148.438,0.000
1587070390.934,21.484,318.359,349.121,146.973,0.000
1587070390.938,50.781,-122.070,71.777,138.184,0.000
1587070390.942,-98.145,-505.859,-428.711,-207.031,0.000
1587070390.946,-160.156,-224.121,-298.340,-281.738,0.000
1587070390.950,-30.273,112.305,139.648,45.410,0.000
1587070390.954,24.414,538.574,614.746,151.367,0.000
1587070390.958,-65.918,260.742,257.324,-131.348,0.000
1587070390.962,-133.301,-410.645,-482.910,-277.832,0.000
1587070390.966,-38.086,-82.520,-122.070,-6.836,0.000
1587070390.970,50.781,588.867,634.766,190.430,0.000
1587070390.973,-36.621,549.805,549.316,-61.523,0.000
1587070390.977,-118.652,-131.836,-222.656,-297.852,0.000
1587070390.981,-53.223,-456.055,-465.820,-99.121,0.000
1587070390.985,28.809,89.355,175.293,144.043,0.000
1587070390.989,5.371,436.035,470.703,21.973,0.000
1587070390.993,-106.445,70.312,-14.160,-259.766,0.000
1587070390.997,-103.516,-611.816,-644.531,-187.988,0.000
1587070391.001,12.695,-393.555,-274.902,128.418,0.000
1587070391.005,29.297,647.461,655.273,123.047,0.000
1587070391.009,-58.105,126.953,45.410,-171.875,0.000
1587070391.012,-85.449,-746.094,-784.668,-228.027,0.000
1587070391.016,-16.602,-19.043,-46.387,46.875,0.000
1587070391.020,31.250,750.000,725.586,155.273,0.000
1587070391.024,-44.922,299.316,258.301,-111.328,0.000
1587070391.028,-113.281,-814.941,-830.078,-263.184,0.000
1587070391.032,-51.758,-474.609,-484.375,-20.996,0.000
1587070391.036,26.367,726.074,723.145,166.504,0.000
1587070391.040,-12.695,364.258,395.508,-13.184,0.000
1587070391.044,-83.008,-837.402,-830.078,-224.609,0.000
1587070391.048,-59.082,-465.820,-522.461,-101.074,0.000
1587070391.052,15.625,697.266,656.250,152.344,0.000
1587070391.055,15.625,633.789,654.785,69.336,0.000
1587070391.059,-98.633,-401.367,-387.695,-248.047,0.000
1587070391.063,-115.723,-424.805,-501.953,-217.285,0.000
1587070391.067,-8.789,440.430,382.812,91.309,0.000
1587070391.071,45.410,604.004,640.137,141.602,0.000
1587070391.075,-47.852,-413.574,-375.488,-150.879,0.000
1587070391.079,-133.301,-788.086,-823.730,-256.348,0.000
1587070391.083,-51.758,157.227,113.770,27.832,0.000
1587070391.087,38.574,533.691,596.191,180.176,0.000
1587070391.091,-31.738,47.852,83.984,-70.312,0.000
1587070391.095,-120.117,-298.340,-395.020,-265.625,0.000
1587070391.098,-54.688,-29.785,-102.539,-48.340,0.000
1587070391.102,52.734,14.160,123.047,199.219,0.000
1587070391.106,-3.418,-237.793,-114.258,13.184,0.000
1587070391.110,-135.742,-191.895,-263.184,-277.344,0.000
1587070391.114,-88.379,-178.223,-250.000,-126.953,0.000
1587070391.118,30.762,25.879,108.887,165.039,0.000
1587070391.122,15.137,115.234,217.773,102.051,0.000
1587070391.126,-93.262,-270.508,-290.039,-212.402,0.000
1587070391.130,-118.652,-432.617,-507.324,-222.168,0.000
1587070391.134,3.418,-562.988,-434.082,114.746,0.000
1587070391.137,29.785,91.797,228.027,166.992,0.000
1587070391.141,-81.055,290.527,233.887,-150.879,0.000
1587070391.145,-120.605,-435.547,-517.090,-260.742,0.000
1587070391.149,-21.973,-187.500,-195.312,33.203,0.000
1587070391.153,39.551,804.688,793.945,187.012,0.000
1587070391.157,-33.203,537.598,486.328,-58.594,0.000
1587070391.161,-101.074,-579.590,-645.996,-257.812,0.000
1587070391.165,-45.898,-382.324,-457.031,-46.387,0.000
1587070391.169,47.363,297.363,299.805,193.359,0.000
1587070391.173,-1.953,338.379,355.957,47.852,0.000
1587070391.177,-85.449,-492.188,-531.250,-201.660,0.000
1587070391.180,-64.941,-814.941,-849.121,-116.699,0.000
1587070391.184,3.418,419.434,384.277,132.324,0.000
1587070391.188,24.414,864.258,823.242,111.816,0.000
1587070391.192,-65.430,-268.066,-288.086,-165.039,0.000
1587070391.196,-110.840,-699.219,-747.559,-205.566,0.000
1587070391.200,-6.836,239.746,153.809,75.684,0.000
1587070391.204,73.242,676.758,631.348,169.434,0.000
1587070391.208,-41.504,-83.984,-92.773,-94.238,0.000
1587070391.212,-136.230,-675.293,-744.141,-241.211,0.000
1587070391.216,-36.133,-530.273,-543.945,15.625,0.000
1587070391.220,54.688,-5.371,103.027,204.590,0.000
1587070391.223,-6.348,-213.867,-95.703,-8.789,0.000
1587070391.227,-95.215,-555.664,-578.125,-264.648,0.000
1587070391.231,-58.105,-55.664,-151.855,-118.652,0.000
1587070391.235,33.203,538.574,546.387,142.578,0.000
1587070391.239,22.461,-236.816,-46.387,65.430,0.000
1587070391.243,-102.539,-616.211,-557.129,-236.328,0.000
1587070391.247,-114.746,-145.996,-257.324,-204.102,0.000
1587070391.251,-1.953,309.082,307.129,104.004,0.000
1587070391.255,29.297,624.512,653.320,117.676,0.000
1587070391.259,-66.406,166.504,100.098,-177.734,0.000
1587070391.262,-112.793,-484.863,-549.316,-237.793,0.000
1587070391.266,-18.555,-317.871,-255.859,69.824,0.000
1587070391.270,42.480,25.879,208.008,178.711,0.000
1587070391.274,-45.898,112.305,153.809,-90.820,0.000
1587070391.278,-111.816,-510.742,-563.477,-246.582,0.000
1587070391.282,-30.762,-399.902,-402.344,14.160,0.000
1587070391.286,42.969,576.172,586.914,208.984,0.000
1587070391.290,-16.602,666.504,620.117,-11.719,0.000
1587070391.294,-112.305,-150.879,-241.699,-263.184,0.000
1587070391.298,-78.125,-394.531,-430.176,-121.094,0.000
1587070391.302,10.254,509.277,490.723,133.301,0.000
1587070391.305,-0.488,795.898,729.492,39.551,0.000
1587070391.309,-93.750,-296.387,-345.215,-251.465,0.000
1587070391.313,-94.238,-860.352,-895.996,-211.426,0.000
1587070391.317,-8.789,108.398,49.805,84.961,0.000
1587070391.321,18.555,754.883,697.754,105.469,0.000
1587070391.325,-76.660,42.480,-26.367,-171.875,0.000
1587070391.329,-125.488,-752.441,-809.082,-242.676,0.000
1587070391.333,-43.457,-162.109,-175.293,22.461,0.000
1587070391.337,9.766,667.480,663.574,160.645,0.000
1587070391.341,-61.523,323.242,286.133,-69.336,0.000
1587070391.345,-129.395,-837.402,-850.586,-240.234,0.000
1587070391.348,-69.824,-329.102,-380.859,-39.062,0.000
1587070391.352,19.531,797.363,763.184,169.434,0.000
1587070391.356,-9.277,353.027,386.719,18.555,0.000
1587070391.360,-104.980,-539.062,-547.363,-231.934,0.000
1587070391.364,-95.703,-283.691,-379.395,-136.230,0.000
1587070391.368,7.812,517.090,457.031,133.789,0.000
1587070391.372,26.367,225.586,267.578,112.305,0.000
1587070391.376,-84.961,-851.562,-848.633,-174.805,0.000
1587070391.380,-137.207,-532.227,-644.043,-224.609,0.000
1587070391.384,-31.250,318.359,254.395,86.426,0.000
1587070391.387,26.367,399.414,411.621,166.504,0.000
1587070391.391,-62.012,-172.852,-204.590,-129.883,0.000
1587070391.395,-115.723,-632.324,-744.629,-268.555,0.000
1587070391.399,-21.484,-69.824,-164.551,-4.883,0.000
1587070391.403,48.340,223.633,276.367,203.613,0.000
1587070391.407,-34.180,-1.953,7.812,-44.922,0.000
1587070391.411,-127.930,-195.312,-345.215,-296.875,0.000
1587070391.415,-71.777,-71.289,-186.035,-82.520,0.000
1587070391.419,43.945,-121.582,7.812,186.523,0.000
1587070391.423,-2.930,145.020,199.219,29.785,0.000
1587070391.427,-107.910,109.863,-41.016,-250.488,0.000
1587070391.430,-61.035,-281.250,-405.762,-136.230,0.000
1587070391.434,27.832,311.523,273.438,147.949,0.000
1587070391.438,4.395,924.805,884.277,90.332,0.000
1587070391.442,-83.984,371.582,248.535,-199.707,0.000
1587070391.446,-98.633,-460.449,-569.336,-219.238,0.000
1587070391.450,-2.930,-242.188,-235.840,68.359,0.000
1587070391.454,57.129,261.719,304.199,172.363,0.000
1587070391.458,-55.176,-124.023,-133.789,-102.051,0.000
1587070391.462,-135.254,-847.168,-890.625,-238.281,0.000
1587070391.466,-45.410,-813.965,-831.055,13.184,0.000
1587070391.470,34.180,402.832,360.840,149.902,0.000
1587070391.473,-13.184,605.469,526.367,-59.570,0.000
1587070391.477,-102.051,-474.121,-543.945,-288.086,0.000
1587070391.481,-76.172,-316.406,-401.855,-130.859,0.000
1587070391.485,21.973,740.723,673.828,149.414,0.000
1587070391.489,34.180,730.469,685.547,50.781,0.000
1587070391.493,-63.965,-311.523,-371.582,-229.492,0.000
1587070391.497,-85.938,-624.512,-670.410,-166.504,0.000
1587070391.501,9.277,191.406,170.410,114.258,0.000
1587070391.505,39.551,708.496,693.848,117.188,0.000
1587070391.509,-45.898,-566.406,-545.898,-152.344,0.000
1587070391.512,-107.422,-892.578,-966.797,-226.074,0.000
1587070391.516,-25.391,234.375,139.648,43.945,0.000
1587070391.520,56.152,574.707,570.801,182.129,0.000
1587070391.524,-24.414,-63.965,-75.684,-84.961,0.000
1587070391.528,-94.238,-362.793,-480.469,-257.812,0.000
1587070391.532,-18.555,107.910,3.906,-3.906,0.000
1587070391.536,62.012,607.910,605.957,197.266,0.000
1587070391.540,11.719,445.801,443.359,11.230,0.000
1587070391.544,-83.984,-486.816,-520.020,-211.426,0.000
1587070391.548,-59.082,-544.434,-574.219,-76.172,0.000
1587070391.552,45.410,83.496,138.184,185.059,0.000
1587070391.555,23.438,-89.844,41.016,98.145,0.000
1587070391.559,-117.188,-199.219,-260.254,-239.258,0.000
1587070391.563,-120.605,-285.645,-413.086,-206.543,0.000
1587070391.567,17.090,-99.609,-65.430,136.719,0.000
1587070391.571,54.688,421.387,471.680,166.504,0.000
1587070391.575,-59.082,218.262,133.789,-151.855,0.000
1587070391.579,-109.863,-352.051,-462.891,-253.906,0.000
1587070391.583,-11.719,-380.371,-354.980,59.082,0.000
1587070391.587,57.617,433.594,478.027,207.520,0.000
1587070391.591,-26.855,356.934,341.309,-62.500,0.000
1587070391.595,-110.352,-590.332,-621.094,-254.395,0.000
1587070391.598,-20.508,-868.164,-773.438,-12.207,0.000
1587070391.602,49.316,104.980,205.078,212.402,0.000
1587070391.606,-9.277,806.152,764.160,22.461,0.000
1587070391.610,-89.844,-3.418,-88.379,-227.051,0.000
