timestamps,TP9,AF7,AF8,TP10,Right AUX
1587072127.261,-20.508,-832.031,-115.723,-3.906,0.000
1587072127.265,-1.953,197.754,-80.078,-76.660,0.000
1587072127.269,31.250,629.395,-88.867,2.930,0.000
1587072127.273,8.789,44.434,-96.191,34.180,0.000
1587072127.277,-34.668,-137.207,-84.473,-29.785,0.000
1587072127.280,-16.113,229.980,-68.359,-58.105,0.000
1587072127.284,16.602,535.156,-75.684,-24.902,0.000
1587072127.288,11.719,344.238,-102.539,20.996,0.000
1587072127.292,-21.973,-229.980,-111.816,12.695,0.000
1587072127.296,-19.043,-227.539,-84.473,-28.320,0.000
1587072127.300,21.973,51.270,-86.914,-11.719,0.000
1587072127.304,13.184,-404.297,-91.309,55.664,0.000
1587072127.308,-34.668,-84.473,-83.984,41.016,0.000
1587072127.312,-27.344,32.715,-117.188,-37.598,0.000
1587072127.316,17.090,10.742,-122.559,-39.062,0.000
1587072127.320,17.578,415.039,-110.352,23.926,0.000
1587072127.323,-25.391,418.945,-99.609,33.203,0.000
1587072127.327,-20.508,124.512,-99.121,-1.465,0.000
1587072127.331,18.066,28.320,-115.723,-29.785,0.000
1587072127.335,-3.906,401.367,-112.305,-36.621,0.000
1587072127.339,-41.992,156.250,-118.164,-20.996,0.000
1587072127.343,-59.570,-373.047,-111.328,-43.457,0.000
1587072127.347,-46.875,-599.609,-93.750,-97.168,0.000
1587072127.351,-20.020,-153.320,-58.105,-85.449,0.000
1587072127.355,-34.668,395.996,-60.547,-22.461,0.000
1587072127.359,-65.918,-195.801,-102.539,-30.273,0.000
1587072127.362,-61.035,-332.520,-107.910,-105.469,0.000
1587072127.366,-7.812,423.340,-98.633,-75.195,0.000
1587072127.370,-15.137,636.230,-112.793,-12.207,0.000
1587072127.374,-75.684,165.527,-126.953,-15.137,0.000
1587072127.378,-78.613,-124.512,-136.719,-72.754,0.000
1587072127.382,-53.223,37.109,-145.508,-85.449,0.000
1587072127.386,-25.879,149.902,-110.840,-33.691,0.000
1587072127.390,-32.715,-219.727,-87.402,-12.695,0.000
1587072127.394,-52.246,-840.820,-89.355,-42.969,0.000
1587072127.398,-23.926,45.410,-66.895,-86.426,0.000
1587072127.402,24.902,733.398,-79.102,-35.645,0.000
1587072127.405,-2.441,67.383,-99.609,25.879,0.000
1587072127.409,-53.223,-174.316,-94.238,-43.457,0.000
1587072127.413,-41.992,18.555,-89.844,-110.840,0.000
1587072127.417,-2.441,367.188,-88.379,-61.523,0.000
1587072127.421,11.230,220.215,-106.934,19.531,0.000
1587072127.425,-38.574,-97.656,-108.887,-15.137,0.000
1587072127.429,-41.016,-14.160,-88.379,-80.078,0.000
1587072127.433,0.977,82.031,-87.891,-73.730,0.000
1587072127.437,12.695,-147.461,-99.121,-6.348,0.000
1587072127.441,-19.043,-512.207,-77.637,1.465,0.000
1587072127.445,-53.711,-88.867,-78.125,-76.172,0.000
1587072127.448,-22.461,241.211,-102.539,-101.562,0.000
1587072127.452,-8.301,220.215,-107.422,-39.062,0.000
1587072127.456,-50.293,224.121,-123.535,-21.973,0.000
1587072127.460,-85.938,114.746,-131.836,-85.449,0.000
1587072127.464,-56.641,181.641,-139.648,-125.000,0.000
1587072127.468,-25.391,238.770,-132.812,-80.078,0.000
1587072127.472,-55.176,151.855,-116.699,-29.297,0.000
1587072127.476,-97.656,48.828,-126.953,-56.641,0.000
1587072127.480,-69.336,-300.293,-134.766,-96.191,0.000
1587072127.484,-22.461,-685.547,-134.766,-76.172,0.000
1587072127.487,-40.039,-27.832,-122.559,-51.270,0.000
1587072127.491,-64.941,351.074,-125.000,-47.852,0.000
1587072127.495,-50.293,-18.066,-135.254,-81.543,0.000
1587072127.499,-22.949,-75.684,-120.605,-102.051,0.000
1587072127.503,-19.043,557.617,-108.887,-46.387,0.000
1587072127.507,-49.316,492.676,-119.141,-14.160,0.000
1587072127.511,-59.570,-107.422,-124.512,-76.172,0.000
1587072127.515,-29.297,133.789,-125.000,-109.863,0.000
1587072127.519,-1.465,570.801,-132.812,-71.289,0.000
1587072127.523,-16.602,374.512,-131.348,-43.457,0.000
1587072127.527,-39.551,-451.660,-129.395,-74.219,0.000
1587072127.530,-45.410,-532.227,-107.910,-121.582,0.000
1587072127.534,-20.508,316.895,-77.148,-85.449,0.000
1587072127.538,-9.277,521.973,-96.680,-26.855,0.000
1587072127.542,-39.551,-327.637,-133.789,-64.941,0.000
1587072127.546,-28.320,-302.246,-116.699,-128.906,0.000
1587072127.550,20.020,497.070,-97.168,-104.004,0.000
1587072127.554,29.785,432.129,-109.863,-4.395,0.000
1587072127.558,-30.273,-504.395,-120.605,1.953,0.000
1587072127.562,-37.598,-433.105,-91.309,-79.590,0.000
1587072127.566,6.836,171.875,-85.938,-86.426,0.000
1587072127.570,-4.395,304.688,-95.215,-44.922,0.000
1587072127.573,-45.410,-354.980,-85.449,-36.621,0.000
1587072127.577,-68.848,-597.656,-76.172,-84.961,0.000
1587072127.581,-42.480,140.625,-80.566,-114.746,0.000
1587072127.585,-4.395,231.934,-92.285,-65.430,0.000
1587072127.589,-3.418,-682.617,-107.910,-28.809,0.000
1587072127.593,-59.570,-578.125,-79.590,-75.684,0.000
1587072127.597,-52.734,-7.324,-62.988,-119.629,0.000
1587072127.601,-3.906,235.840,-70.312,-83.496,0.000
1587072127.605,-20.996,337.891,-69.824,-15.137,0.000
1587072127.609,-68.359,158.203,-85.449,-37.598,0.000
1587072127.612,-57.617,140.137,-76.660,-107.910,0.000
1587072127.616,-20.020,154.785,-70.312,-102.539,0.000
1587072127.620,-37.598,76.660,-106.445,-61.035,0.000
1587072127.624,-61.035,-119.629,-107.910,-83.984,0.000
1587072127.628,-67.871,-46.387,-88.379,-157.227,0.000
1587072127.632,-57.129,-150.879,-103.027,-142.090,0.000
1587072127.636,-37.598,253.906,-103.027,-108.887,0.000
1587072127.640,-85.449,549.805,-128.418,-104.004,0.000
1587072127.644,-110.352,7.812,-145.508,-129.883,0.000
1587072127.648,-60.059,-571.289,-117.676,-154.785,0.000
1587072127.652,-34.668,-8.789,-78.125,-112.305,0.000
1587072127.655,-61.523,612.793,-101.074,-68.359,0.000
1587072127.659,-86.426,109.375,-138.184,-99.121,0.000
1587072127.663,-80.566,-222.656,-123.047,-145.020,0.000
1587072127.667,-48.340,44.922,-107.422,-107.910,0.000
1587072127.671,-54.688,145.508,-114.258,-61.035,0.000
1587072127.675,-97.656,-312.012,-140.137,-92.285,0.000
1587072127.679,-84.473,-803.711,-151.855,-156.738,0.000
1587072127.683,-66.895,-55.176,-122.070,-158.691,0.000
1587072127.687,-50.781,360.840,-121.094,-84.961,0.000
1587072127.691,-86.914,-133.301,-137.207,-76.660,0.000
1587072127.695,-121.094,-127.930,-128.418,-149.902,0.000
1587072127.698,-71.777,392.578,-114.258,-162.598,0.000
1587072127.702,-42.480,592.285,-110.840,-66.406,0.000
1587072127.706,-75.195,97.656,-128.906,-40.039,0.000
1587072127.710,-106.934,-115.234,-128.418,-132.812,0.000
1587072127.714,-81.543,12.207,-109.863,-165.039,0.000
1587072127.718,-33.203,58.594,-109.375,-93.750,0.000
1587072127.722,-50.781,-404.785,-118.164,-44.922,0.000
1587072127.726,-90.332,-676.270,-103.027,-80.566,0.000
1587072127.730,-87.402,78.613,-97.656,-144.043,0.000
1587072127.734,-59.570,564.453,-125.000,-122.070,0.000
1587072127.737,-70.801,378.906,-150.879,-60.547,0.000
1587072127.741,-84.473,213.379,-165.039,-76.660,0.000
1587072127.745,-77.148,266.113,-149.414,-121.094,0.000
1587072127.749,-53.711,348.633,-127.930,-125.488,0.000
1587072127.753,-42.969,317.383,-130.371,-80.566,0.000
1587072127.757,-75.684,298.340,-126.953,-73.242,0.000
1587072127.761,-88.379,-116.699,-122.070,-128.906,0.000
1587072127.765,-52.734,-280.273,-100.098,-149.902,0.000
1587072127.769,-20.508,-135.254,-83.008,-89.844,0.000
1587072127.773,-56.641,196.289,-101.074,-59.082,0.000
1587072127.777,-91.309,114.258,-131.836,-117.188,0.000
1587072127.780,-75.195,-425.781,-125.977,-131.348,0.000
1587072127.784,-46.875,-604.980,-93.262,-67.383,0.000
1587072127.788,-66.895,178.711,-93.262,-42.969,0.000
1587072127.792,-122.070,196.777,-140.137,-106.934,0.000
1587072127.796,-116.211,-296.875,-134.766,-139.648,0.000
1587072127.800,-62.988,176.270,-107.422,-93.750,0.000
1587072127.804,-58.594,550.293,-125.000,-67.871,0.000
1587072127.808,-104.004,15.625,-125.000,-80.078,0.000
1587072127.812,-108.398,-364.746,-103.027,-103.027,0.000
1587072127.816,-64.453,183.105,-69.336,-116.211,0.000
1587072127.820,-56.641,646.973,-63.477,-66.406,0.000
1587072127.823,-98.633,86.914,-91.797,-30.762,0.000
1587072127.827,-102.539,-773.926,-96.680,-94.727,0.000
1587072127.831,-69.336,-319.824,-62.500,-143.555,0.000
1587072127.835,-41.992,620.117,-83.984,-85.938,0.000
1587072127.839,-57.617,328.613,-116.211,-38.574,0.000
1587072127.843,-97.656,-264.160,-113.281,-107.422,0.000
1587072127.847,-83.008,148.438,-97.168,-158.691,0.000
1587072127.851,-46.387,773.438,-91.797,-127.930,0.000
1587072127.855,-59.082,320.312,-126.953,-83.984,0.000
1587072127.859,-93.262,-709.473,-142.090,-88.379,0.000
1587072127.862,-89.355,-263.184,-106.445,-169.434,0.000
1587072127.866,-44.434,553.223,-101.562,-168.457,0.000
1587072127.870,-35.156,354.492,-118.164,-68.359,0.000
1587072127.874,-77.148,-269.531,-124.512,-76.660,0.000
1587072127.878,-98.145,-107.422,-137.695,-157.227,0.000
1587072127.882,-50.293,119.141,-142.578,-142.090,0.000
1587072127.886,-28.809,155.273,-121.582,-86.914,0.000
1587072127.890,-74.219,149.902,-125.977,-78.125,0.000
1587072127.894,-99.121,128.906,-124.512,-142.090,0.000
1587072127.898,-63.965,315.430,-116.211,-171.387,0.000
1587072127.902,-38.086,62.012,-135.254,-102.051,0.000
1587072127.905,-63.965,-179.688,-132.812,-70.801,0.000
1587072127.909,-110.352,133.789,-112.305,-121.094,0.000
1587072127.913,-107.422,134.766,-122.070,-180.176,0.000
1587072127.917,-65.430,-149.414,-134.277,-137.207,0.000
1587072127.921,-80.566,232.910,-120.605,-81.543,0.000
1587072127.925,-117.188,330.566,-132.812,-103.027,0.000
1587072127.929,-107.422,-123.535,-134.766,-168.945,0.000
1587072127.933,-76.172,-57.617,-114.746,-167.969,0.000
1587072127.937,-58.105,360.840,-112.793,-87.402,0.000
1587072127.941,-70.801,16.602,-129.883,-76.660,0.000
1587072127.945,-103.516,-244.629,-114.746,-135.254,0.000
1587072127.948,-73.730,-156.250,-96.191,-156.250,0.000
1587072127.952,-30.273,166.016,-86.914,-86.914,0.000
1587072127.956,-63.477,376.465,-97.656,-56.152,0.000
1587072127.960,-100.098,-153.320,-121.094,-119.141,0.000
1587072127.964,-93.262,-795.898,-113.281,-169.922,0.000
1587072127.968,-66.895,-113.770,-76.172,-134.766,0.000
1587072127.972,-69.824,490.723,-80.566,-56.641,0.000
1587072127.976,-73.730,-208.008,-90.820,-78.613,0.000
1587072127.980,-71.289,-201.172,-71.777,-140.625,0.000
1587072127.984,-33.203,512.695,-77.148,-130.859,0.000
1587072127.987,-48.340,559.570,-82.520,-77.148,0.000
1587072127.991,-111.328,-82.031,-100.586,-69.824,0.000
1587072127.995,-97.168,-370.605,-108.398,-146.484,0.000
1587072127.999,-59.082,56.641,-88.867,-151.855,0.000
1587072128.003,-51.270,373.047,-83.008,-78.125,0.000
1587072128.007,-83.496,-239.746,-109.863,-59.082,0.000
1587072128.011,-97.168,-593.750,-92.285,-113.770,0.000
1587072128.015,-64.941,82.031,-67.871,-154.297,0.000
1587072128.019,-41.016,377.441,-96.680,-106.934,0.000
1587072128.023,-57.617,-20.020,-116.699,-65.430,0.000
1587072128.027,-81.055,-191.406,-101.074,-104.004,0.000
1587072128.030,-71.289,129.395,-87.402,-156.250,0.000
1587072128.034,-33.691,394.043,-93.262,-121.094,0.000
1587072128.038,-57.129,157.715,-107.422,-75.684,0.000
1587072128.042,-106.445,-297.363,-126.953,-109.375,0.000
1587072128.046,-88.867,-187.012,-126.465,-149.902,0.000
1587072128.050,-23.438,182.617,-127.441,-109.375,0.000
1587072128.054,-13.184,-458.008,-141.113,-37.598,0.000
1587072128.058,-71.777,-484.375,-125.000,-56.641,0.000
1587072128.062,-79.590,-147.949,-106.445,-128.906,0.000
1587072128.066,-28.320,51.270,-78.125,-113.281,0.000
1587072128.070,-25.879,435.547,-70.312,-53.223,0.000
1587072128.073,-66.895,437.012,-105.957,-55.176,0.000
1587072128.077,-84.473,125.977,-133.789,-102.539,0.000
1587072128.081,-68.359,7.324,-111.328,-126.953,0.000
1587072128.085,-29.785,349.609,-100.098,-72.754,0.000
1587072128.089,-58.105,90.332,-144.043,-49.805,0.000
1587072128.093,-130.859,-366.699,-151.367,-121.582,0.000
1587072128.097,-109.863,-450.684,-133.789,-167.480,0.000
1587072128.101,-66.406,-147.461,-114.746,-125.977,0.000
1587072128.105,-81.543,471.191,-112.793,-87.402,0.000
1587072128.109,-101.074,168.457,-128.418,-115.723,0.000
1587072128.112,-83.008,-464.844,-118.164,-165.527,0.000
1587072128.116,-35.156,10.254,-84.961,-145.508,0.000
1587072128.120,-46.387,644.043,-86.426,-78.125,0.000
1587072128.124,-82.031,240.234,-115.234,-84.961,0.000
1587072128.128,-66.895,-204.102,-122.070,-153.320,0.000
1587072128.132,-53.711,160.645,-116.211,-166.992,0.000
1587072128.136,-46.387,320.312,-118.164,-93.750,0.000
1587072128.140,-79.102,-104.004,-129.883,-75.195,0.000
1587072128.144,-104.980,-760.254,-126.465,-113.770,0.000
1587072128.148,-85.938,-50.781,-79.102,-160.156,0.000
1587072128.152,-54.199,636.230,-103.516,-118.652,0.000
1587072128.155,-69.824,222.656,-150.879,-63.965,0.000
1587072128.159,-115.234,-32.715,-145.020,-107.422,0.000
1587072128.163,-87.891,188.477,-118.164,-166.016,0.000
1587072128.167,-31.738,518.555,-109.863,-107.910,0.000
1587072128.171,-62.988,188.477,-121.582,-41.016,0.000
1587072128.175,-84.473,-176.270,-110.840,-81.055,0.000
1587072128.179,-87.402,62.988,-98.633,-140.625,0.000
1587072128.183,-67.383,231.445,-100.098,-127.930,0.000
1587072128.187,-56.641,-152.832,-122.559,-62.012,0.000
1587072128.191,-99.121,-571.777,-128.906,-64.941,0.000
1587072128.195,-105.957,0.488,-111.328,-134.277,0.000
1587072128.198,-56.641,385.254,-102.051,-154.785,0.000
1587072128.202,-33.203,35.156,-120.117,-85.938,0.000
1587072128.206,-67.871,32.227,-140.625,-49.805,0.000
1587072128.210,-98.145,154.297,-152.832,-114.258,0.000
1587072128.214,-64.941,86.914,-123.047,-177.246,0.000
1587072128.218,-19.531,209.961,-83.496,-118.164,0.000
1587072128.222,-20.020,329.590,-101.074,-48.828,0.000
1587072128.226,-57.617,-17.090,-130.859,-111.328,0.000
1587072128.230,-80.566,-381.836,-135.254,-199.707,0.000
1587072128.234,-58.594,-630.859,-142.578,-150.391,0.000
1587072128.237,-79.590,-157.227,-132.812,-108.398,0.000
1587072128.241,-118.652,183.105,-145.020,-154.785,0.000
1587072128.245,-113.770,-209.473,-154.297,-217.285,0.000
1587072128.249,-91.797,-156.250,-134.766,-209.961,0.000
1587072128.253,-99.121,526.367,-141.602,-134.766,0.000
1587072128.257,-141.113,430.176,-164.551,-128.418,0.000
1587072128.261,-153.320,-94.727,-161.133,-187.500,0.000
1587072128.265,-115.723,140.625,-130.859,-200.195,0.000
1587072128.269,-74.219,586.426,-125.000,-120.605,0.000
1587072128.273,-87.402,306.641,-164.062,-94.238,0.000
1587072128.277,-120.117,-599.609,-189.941,-158.203,0.000
1587072128.280,-88.867,-439.941,-133.789,-177.734,0.000
1587072128.284,-45.410,483.887,-104.980,-103.027,0.000
1587072128.288,-69.824,326.172,-163.086,-58.594,0.000
1587072128.292,-104.004,-567.871,-190.430,-84.961,0.000
1587072128.296,-102.539,-397.949,-176.270,-148.926,0.000
1587072128.300,-55.664,474.121,-160.156,-142.578,0.000
1587072128.304,-52.734,518.066,-155.273,-81.543,0.000
1587072128.308,-84.961,-548.340,-158.691,-78.613,0.000
1587072128.312,-98.633,-438.965,-103.027,-142.090,0.000
1587072128.316,-71.777,533.203,-70.312,-159.668,0.000
1587072128.320,-48.340,636.230,-93.750,-69.824,0.000
1587072128.323,-76.172,-70.801,-128.418,-48.828,0.000
1587072128.327,-97.656,-289.062,-104.492,-110.840,0.000
1587072128.331,-83.008,368.652,-64.941,-138.672,0.000
1587072128.335,-42.480,392.090,-78.125,-87.402,0.000
1587072128.339,-38.086,-442.383,-86.426,-43.945,0.000
1587072128.343,-87.891,-396.484,-85.938,-102.051,0.000
1587072128.347,-69.336,77.637,-98.633,-160.156,0.000
1587072128.351,-33.691,240.723,-117.676,-117.676,0.000
1587072128.355,-50.781,346.191,-121.094,-63.965,0.000
1587072128.359,-84.473,258.789,-127.930,-101.562,0.000
1587072128.362,-68.359,145.508,-143.555,-125.000,0.000
1587072128.366,-26.855,168.457,-126.953,-103.027,0.000
1587072128.370,-34.668,105.957,-112.793,-57.617,0.000
1587072128.374,-70.801,-14.160,-113.281,-21.973,0.000
1587072128.378,-82.520,144.043,-100.098,-95.215,0.000
1587072128.382,-42.480,-166.504,-117.188,-128.906,0.000
1587072128.386,-16.113,-124.023,-98.633,-66.406,0.000
1587072128.390,-62.988,410.645,-105.957,-69.336,0.000
1587072128.394,-91.309,60.059,-124.512,-124.023,0.000
1587072128.398,-60.547,-96.680,-84.473,-141.113,0.000
1587072128.402,-31.250,535.156,-71.289,-88.867,0.000
1587072128.405,-67.383,410.156,-107.910,-56.152,0.000
1587072128.409,-87.891,-357.910,-125.000,-105.469,0.000
1587072128.413,-54.688,-253.418,-105.469,-140.625,0.000
1587072128.417,-47.363,111.816,-119.141,-109.375,0.000
1587072128.421,-66.895,291.992,-118.164,-61.035,0.000
1587072128.425,-81.543,50.293,-135.254,-56.641,0.000
1587072128.429,-70.801,-684.570,-153.320,-109.863,0.000
